Job_Title,Years_of_Professional_Experience_Overall,Total_Compensation
"Application Portfolio Manager","11 - 20 years",109000
"Case Investigator","1 year or less",98000
"IT Business Analyst","8 - 10 years",80000
"Leasing Consultant","2 - 4 years",31200
"School nurse","11 - 20 years",66500
"Acquisition Editor","8 - 10 years",63000
"Assistant Research Engineer","2 - 4 years",133000
"Adjunct Instructor","21 - 30 years",86000
"Senior Regional Sales Manager","11 - 20 years",145000
"Marketing & Communications Manager","21 - 30 years",60100
"Application Analyst","1 year or less",60000
"Operations Management Graduate","2 - 4 years",26500
"Subcontracts Administrator II","8 - 10 years",77250
"Civil Engineer I","1 year or less",59000
"Lead Software QA Engineer","21 - 30 years",93600
"Sr Manager eCommerce","8 - 10 years",165000
"Professional Development Specialist","11 - 20 years",170600
"Staff Geologist","1 year or less",58000
"Programs Manager","8 - 10 years",55000
"Trucking Back Office Manager","11 - 20 years",160000
"Environmental Engineer III","5-7 years",75600
"Manager of Administration","21 - 30 years",80038
"Newborn Care Specialist/ Postpartum Doula","11 - 20 years",90000
"Senior Client Service Associate","2 - 4 years",62000
"Investigations Officer - anti money laundering","11 - 20 years",134000
"Senior Engineer Systems Architecture","11 - 20 years",118000
"Sr. Data Analyst","2 - 4 years",80000
"Hospital Social Worker","5-7 years",56000
"Finance Graduate","2 - 4 years",33000
"Technical Services Engineer","2 - 4 years",83500
"ELA Teacher","8 - 10 years",93213
"Home Attendant HHA","8 - 10 years",32000
"Underwriting assistant","2 - 4 years",93366
"Senior Manager, Marketing Strategy","8 - 10 years",118000
Streamer,"5-7 years",250000
"Sr. Staff Engineer","5-7 years",160000
"Senior staff engineer","5-7 years",200000
"Group Manager","11 - 20 years",173000
"Senior Audit Manager","11 - 20 years",66000
"Librarian III","8 - 10 years",67000
"Sr. Business Analyst","8 - 10 years",107000
"Service Delivery Executive","5-7 years",35152
"Customer care representative","5-7 years",36400
"Senior manager","41 years or more",190000
"Business Process Specialist","11 - 20 years",59780
"enrolled agent","11 - 20 years",120000
"manager, educational administration","5-7 years",77000
"Senior Counsel, Litigation","8 - 10 years",279500
"Security Technical Consultant","8 - 10 years",70000
Translator,"5-7 years",48325
"Director of Disability and Access Resources","11 - 20 years",82000
"Learning Technology Specialist","11 - 20 years",48000
"Market analyst","5-7 years",261990
"Lead Associate","11 - 20 years",157000
"Technical Artist","2 - 4 years",140000
"Account Payable","8 - 10 years",35000
"Senior Technical Sales Engineer","5-7 years",109000
"Quality Engineer and Internal Auditor","2 - 4 years",73000
"Senior Manager, Content Acquisition","11 - 20 years",100000
"Financial Administrator","5-7 years",43612
"Pension Analyst","21 - 30 years",65000
"Interior Design","2 - 4 years",50000
"Investment Analyst","2 - 4 years",75000
"Certified Pharmacy Technician","5-7 years",32000
"Lease Administrator","8 - 10 years",68250
"Client associate","2 - 4 years",34000
f,"11 - 20 years",87552
"Senior Penetration Tester","11 - 20 years",150000
"Director of Marketing","5-7 years",85725
"Healthcare Facilities Planner","21 - 30 years",100000
"Head of Talent Acquisition","11 - 20 years",120000
"Director Product","11 - 20 years",315000
"Vice President Account Director","11 - 20 years",167500
"Sr. Regional Sales Manager","11 - 20 years",360000
"Automotive technician","21 - 30 years",54000
Lawyer,"1 year or less",205000
"Sales Planner","2 - 4 years",69600
"Engineering Team Leader","21 - 30 years",149500
"Managing content coordinator","11 - 20 years",60000
"User Experience Researcher & Designer","8 - 10 years",104000
"Virtual Bookkeeper/Admin","21 - 30 years",41600
"Content Designer","11 - 20 years",132840
"Junior Product Owner","11 - 20 years",63000
"Information Security Analyst","11 - 20 years",200000
"Quality Assurance Director","11 - 20 years",93000
"Customer service specialist","11 - 20 years",107500
"Assistant Director of Individual Giving","11 - 20 years",93475
"Senior Data Scientist","41 years or more",190000
"Financial secretary/office manager","11 - 20 years",39500
"Apparel Designer","8 - 10 years",95000
"Executive Search Consultant","21 - 30 years",235000
"Cyber Security Engineer","8 - 10 years",95000
"Computer System Validation Engineer","2 - 4 years",100100
"Member advisor","2 - 4 years",35500
"Pro Bono Coordinator","2 - 4 years",29000
"Research Director","8 - 10 years",182000
"Digital Marketing Strategist","8 - 10 years",89000
"American Sign Language/English Interpreter","5-7 years",87000
"Deputy managing editor","5-7 years",72000
"CAD Technician","5-7 years",49720
"VP Digital Marketing and Customer Experience","11 - 20 years",260000
"Threat Analyst","11 - 20 years",105000
"HR/Staffing Associate","5-7 years",58000
"Education Administration Coordinator","11 - 20 years",103248
"Physician (infectious diseases)","5-7 years",209000
"Financial Systems Analyst","8 - 10 years",115000
"Product Manger GL/Umb","11 - 20 years",194000
"Director of Data Engineering","8 - 10 years",182000
"Director, Fundraising","11 - 20 years",74000
"Knowledge Manager","11 - 20 years",276000
"Creative Strategist","5-7 years",49000
"Product Director","8 - 10 years",228000
"Sales Director","5-7 years",51000
"Associate Counsel","5-7 years",190000
"Job Captain","5-7 years",67000
"Quality Engineer II","2 - 4 years",93500
"Financial crimes operations specialist","8 - 10 years",42500
"Group Underwriter","8 - 10 years",77000
"Senior Contracts specialist","8 - 10 years",99025
"RN Case Manager","31 - 40 years",271000
"Higher Education Officer","11 - 20 years",121000
"Sea Logistics specialist","2 - 4 years",24000
"UX Research Manager","11 - 20 years",112000
"Business Operations Manager","8 - 10 years",177201
"IBEW Electrician","21 - 30 years",165000
"Product marketing manager","8 - 10 years",260000
"Special education teaching assistant","8 - 10 years",14000
"Solutions Architect","8 - 10 years",669000
"Associate Director of Admissions","8 - 10 years",149000
"Audience Growth Manager","5-7 years",62500
"Digital Librarian","11 - 20 years",147000
"Deputy Director of Communications","8 - 10 years",99945
"Event Planner","2 - 4 years",53560
"Software Engineer 2","21 - 30 years",97000
"Digital Supervisor","2 - 4 years",70000
"Zoo Educator","11 - 20 years",37719
"Business Intelligence Manager","11 - 20 years",185000
"Vulnerability Management Engineer","11 - 20 years",111000
"Content Manager","2 - 4 years",119500
"Research Coordinator","2 - 4 years",144936
"Marketing Content Creator","8 - 10 years",70000
"Forensic Chemist","11 - 20 years",57700
"Architectural Drafting Technician II","11 - 20 years",64215
"Fundraising Manager","2 - 4 years",90000
Economist,"2 - 4 years",301000
"Senior Advisory Specialist","2 - 4 years",79800
"Junior Accountant","8 - 10 years",40000
"Art Director","5-7 years",185000
"Business systems analyst","2 - 4 years",136000
"Sr. FP&A Analyst","8 - 10 years",145000
"Coordination Business Partner","8 - 10 years",68000
"Information Systems Manager","11 - 20 years",37638
"Environmental program manager","11 - 20 years",135283
"Project manager senior","11 - 20 years",68500
"Embedded IT Project Manager/Scrum Master","11 - 20 years",58500
"industrial designer","8 - 10 years",153000
"Office Coordinator & Assistant to VP of Quality","8 - 10 years",33000
"Data Scientist 2","1 year or less",213000
"Sr Project Engineer","11 - 20 years",240000
"Clinical Mental Health and Academic Counsellor","8 - 10 years",59000
"Desktop Supporter","11 - 20 years",103000
"Commercial Service Representative","8 - 10 years",72000
"Area Coordinator","8 - 10 years",108796
"Revenue Cycle Manager","11 - 20 years",100000
"Lead Platform Engineer","31 - 40 years",160000
"Software Engineering Team Lead","31 - 40 years",120000
"Senior Policy Official","8 - 10 years",40050
"Scientific Affairs Manager","8 - 10 years",143800
"COBRA Integration Analyst","1 year or less",47260
"Physician assistant","5-7 years",284000
"Responsible for an external-facing unit","11 - 20 years",175000
"Panel Administrator","5-7 years",65000
"Title Officer","11 - 20 years",195000
"Sr. Human Resources Business Partner/VP","41 years or more",213000
"Grad Student","1 year or less",30000
"Director of Research & Market Strategy","8 - 10 years",113400
"Business Intelligence Analyst","2 - 4 years",106850
"Content Producer","11 - 20 years",78700
Server,"1 year or less",90000
"Safety & Health Inspector","21 - 30 years",53000
"Staff accountant","1 year or less",216000
"Community Health Worker","5-7 years",91741
"Satellite Systems Engineer","5-7 years",103000
"Part Time tutor","21 - 30 years",18720
"Artist Manager","11 - 20 years",67000
"Project Director","21 - 30 years",270000
"Project surveyor","5-7 years",62400
"Helo Desk Specialist","11 - 20 years",75000
"CBT Therapist","1 year or less",38890
"Asia Pacific Sales Manager","5-7 years",75000
"Email Marketing Manager","21 - 30 years",75600
"Law Reference Librarian","11 - 20 years",84000
"Director of Performance Marketing","8 - 10 years",177000
"Senior Data & Policy Specialist","5-7 years",80000
"Design Director","8 - 10 years",193000
"Associate Marketing Manager","2 - 4 years",68250
"Automation Systems Analyst","2 - 4 years",60200
"Vice President & Relationship Manager","11 - 20 years",220000
"Budgets analyst","2 - 4 years",65000
"Digital Program Manager","11 - 20 years",250000
Subtitler,"11 - 20 years",26360
"Industrial Hygienist","2 - 4 years",166500
"Asst. Office Manager","8 - 10 years",52500
"Assistant Director, Academic  Advising","11 - 20 years",61000
"Global advocacy and campaigns coordinator","8 - 10 years",37200
Contractor,"5-7 years",28800
"General Music Teacher","11 - 20 years",65000
"Major Gifts Coordinator","2 - 4 years",66844
"Grant Accountant 2","11 - 20 years",50000
"Senior Managing Scientist","21 - 30 years",168000
"Software Engineer L2","5-7 years",80000
"Senior Product Designer","2 - 4 years",235000
"Chase Leadership Development Analyst","1 year or less",65000
"Associate Producer","2 - 4 years",63860
"Senior Employee Relations Consultant","8 - 10 years",106000
Crew,"1 year or less",20800
"Senior Analyst, Business Transformation Portfolio Lead","5-7 years",95000
"Senior Manager","2 - 4 years",220000
"Pre-Health Advisor","5-7 years",52500
"ACCOUNTING ADMIN","5-7 years",41600
"Software Development Engineer II","2 - 4 years",144800
"Assistant Director of Prospect Research","11 - 20 years",101143
"SALT Teaching Assistant","5-7 years",19000
"Strategy Consultant","11 - 20 years",260000
"Grants Accountant","11 - 20 years",59500
"Chemical Engineer","2 - 4 years",97000
Underwriter,"2 - 4 years",165300
"digital prepress","31 - 40 years",61360
"Research Scientist, level III","11 - 20 years",80000
"Administrative Support Specialist","8 - 10 years",52000
"Business Systems Analyst III","21 - 30 years",108000
"Multimedia Producer","8 - 10 years",72600
Clergy,"21 - 30 years",58000
"Senior customer service manager","11 - 20 years",105000
"QA Lead","5-7 years",74880
"Technical Assistant","11 - 20 years",52000
"Public Relations Manager","5-7 years",81000
"Claims Generalist Intermediate","5-7 years",70500
"Artistic Director","21 - 30 years",42000
"Business support assistant","1 year or less",19671
"Certification engineer","1 year or less",47000
"Assistant General Manager","8 - 10 years",50500
Auditor,"5-7 years",83000
"Salesforce administrator/developer","11 - 20 years",134500
"Social Entrepreneur","5-7 years",111700
"Frontend Engineer","2 - 4 years",132000
"Technology Director","21 - 30 years",195000
"Principal Software Architect","11 - 20 years",495000
"Marketing Lead","2 - 4 years",127000
"Freelance Technical Writer","21 - 30 years",80000
"Benefits Coordinator","2 - 4 years",67000
"PhD student biotechnology","1 year or less",40261
Biller,"11 - 20 years",33280
"Business Intelligence developer","1 year or less",65000
"Instructional Designer/LMS Admin","8 - 10 years",70300
"Lead Organizer","2 - 4 years",80000
"Optical assistant","5-7 years",23000
"Staff attorney - nonprofit","2 - 4 years",50000
"Staff Engineer","11 - 20 years",1801666
"Trainer/Quality Assurance","11 - 20 years",48000
"Digital Content Coordinator","8 - 10 years",61040
"Product Dev","8 - 10 years",75000
"senior editor","31 - 40 years",119000
"Fitness Specialist","21 - 30 years",40000
"Civil Engineer (EIT)","2 - 4 years",58760
SLP,"2 - 4 years",77000
"Information Architect","11 - 20 years",265000
"Music Promoter","8 - 10 years",80000
"Senior Records Analyst","11 - 20 years",92344
"UX UI Designer","11 - 20 years",97000
"civil engineer","8 - 10 years",201000
"Information Reporting Analyst","2 - 4 years",72000
"Computer Technician I","8 - 10 years",38000
"Director Communications, Marketing, and PR","8 - 10 years",148000
"Senior information officer","11 - 20 years",160300
"Software Designer","8 - 10 years",136000
"Multimedia Specialist","8 - 10 years",88500
"Environmental Health Specialist IV","8 - 10 years",79719
"Sound Design","21 - 30 years",35000
"Retirement Specialist","2 - 4 years",32000
"Molecular Lab Technician","2 - 4 years",46500
"Associate Manager","8 - 10 years",225300
"Product Security Engineer","11 - 20 years",190300
"Market Accounts Specialist","11 - 20 years",32073
"Environmental Analyst","2 - 4 years",56000
"EHS Specialist","11 - 20 years",108000
"Senior Product Manager","8 - 10 years",1215195
"Hardware Engineering program manager","11 - 20 years",280000
"ENGINEER 6","5-7 years",96262
"Admin Assistant II","5-7 years",55224
"Head of PR & Communications","21 - 30 years",44500
"Insights Analyst","2 - 4 years",73000
"Financial Representative","31 - 40 years",125000
"Associate Strategy Director","8 - 10 years",105000
"Venue manager","8 - 10 years",35000
"Tuition Coordinator","8 - 10 years",45000
"Junior License Manager","2 - 4 years",40000
"Sr Associate, Project Manager","2 - 4 years",70000
"Degree Programme Manager","8 - 10 years",68000
"Senior Digital Marketing Executive","5-7 years",32300
"Chemical Engineer","1 year or less",141100
"Recovery specialist","11 - 20 years",57500
"Digital Preservation Specialist","8 - 10 years",90106
"Government Relations Manager","2 - 4 years",90000
"Admissions Coordinator","2 - 4 years",45000
"Business Strategy Manager","5-7 years",160000
"Policy Advisor","21 - 30 years",114400
Procurement,"11 - 20 years",60010
"Human Resources Analyst","5-7 years",228000
"Revenue Cycle Analyst","21 - 30 years",52320
"Regional Business Manager","21 - 30 years",73000
"User Experience and Virtual Reference Coordinator","11 - 20 years",49000
"Product Marketer","1 year or less",0
"Implementation Consultant","21 - 30 years",126000
"Benefits Advisor","8 - 10 years",58000
"Administrative Officer","11 - 20 years",55214
"Vice President of Corporate Communications and Investor Relations","11 - 20 years",400000
"Senior SEM Analyst","8 - 10 years",150000
"VP of Content & Marketing","11 - 20 years",80500
Clerical,"5-7 years",35000
"IT Admin","11 - 20 years",47000
Optometrist,"5-7 years",153000
"Supply Chain Analyst","2 - 4 years",111000
"Senior Marketing Manager","5-7 years",257200
"Senior Risk Analyst","11 - 20 years",135600
"Penetration Tester","11 - 20 years",83000
"Global Category Manager","21 - 30 years",156000
"Sr. Solution Advisor","21 - 30 years",95000
"Information Analyst","21 - 30 years",96000
"Senior Design Engineer - Control Systems","11 - 20 years",133400
Controller,"2 - 4 years",55800
Purchasing,"11 - 20 years",48000
"Sr Program Manager","5-7 years",177120
Operations,"2 - 4 years",107000
"Executive Assistant/Admin Asst 3","21 - 30 years",63000
"Assistant General Counsel","8 - 10 years",204450
"TAC ENT RT SWITCHING CISCO","11 - 20 years",106000
"Administration Manager","8 - 10 years",89500
"Project Manager, Workplace Experience","11 - 20 years",57500
"Advisory analyst","2 - 4 years",59500
"Web Content Manager","8 - 10 years",84000
"IT Support Engineer","21 - 30 years",137666
"Insurance Specialist","5-7 years",50211
"Facilities Coordinator","11 - 20 years",73400
"Digital Services Manager","8 - 10 years",86000
"Library metadata specialist","5-7 years",24000
"1st Line ICT Support Analyst","21 - 30 years",45000
"Articling Student","2 - 4 years",88400
"Senior experience strategist","2 - 4 years",76645
"Technology Lead","11 - 20 years",128000
Admitting,"5-7 years",44000
"Nurse practitioner","2 - 4 years",196000
"Office Coordinator","8 - 10 years",73500
"Research Librarian","11 - 20 years",301000
"Division Operations Support","21 - 30 years",43000
Househusband,"5-7 years",0
"Assistant Brand Manager","5-7 years",80000
Registrar,"5-7 years",38040
"Senior Support Engineer","5-7 years",122000
"Senior Staff Attorney","11 - 20 years",157000
"Associate Development Officer","5-7 years",53000
"Lead Talent Acquisition Partner","21 - 30 years",132250
"Grocery store clerk","5-7 years",27248
"Contact Tracer","8 - 10 years",100635
"Consumer Loans Assistant Manager","11 - 20 years",71000
"Manager of Campaigns","8 - 10 years",69800
"Application Support Specialist II","11 - 20 years",85000
"Lead Software Developer","5-7 years",36000
"Office & Lab Manager","11 - 20 years",32000
"Demand Planning Analyst","5-7 years",140100
"Assistant Director, HR","11 - 20 years",60750
"Sales support specialist","8 - 10 years",62000
"Narrative Editor","5-7 years",105000
"Investment analyst","5-7 years",120000
"Senior Global Content Strategist","5-7 years",102000
"Medical Affairs Specialist II","8 - 10 years",104500
"HR Project Manager","2 - 4 years",110000
"Chief Curator","11 - 20 years",128000
"Contributing Writer","5-7 years",30000
"Strategic Account Executive","11 - 20 years",205000
"Student Affairs Manager","11 - 20 years",70000
Scripter,"11 - 20 years",40000
"Marine engineer","8 - 10 years",55120
"Accounts Payable","8 - 10 years",93000
"Sales Engineer","5-7 years",270000
"Clinical Support Coordinator","8 - 10 years",41600
"Sr. Software Engineer","21 - 30 years",581000
"Product Design Manager","8 - 10 years",325000
"Analytic Consultant","21 - 30 years",100000
"Product Manager, Director","21 - 30 years",207000
"Senior statistical analytical programmer","11 - 20 years",89000
"IT Asset Management Specialist","5-7 years",90000
"Campus Rabbi","21 - 30 years",120000
"Continuous improvement manager","1 year or less",73500
"PMTS Infrastructure Engineer","11 - 20 years",236000
"Content Director","8 - 10 years",90000
"Software Engineer 3","8 - 10 years",147000
"IT Consultant","31 - 40 years",90000
"Information Security Officer","21 - 30 years",162000
"Data Scientist II","5-7 years",322000
"Associate Director, Learning and Development","5-7 years",94000
"Population Health Supervisor","5-7 years",74800
"Administration Director","21 - 30 years",83000
"Graphic Designer & Sign Fabrication","21 - 30 years",37440
"Music Coordinator","5-7 years",60400
"Technical Lead / Manager","11 - 20 years",370000
"Assistant Sales Manager","11 - 20 years",70000
"Legal director","11 - 20 years",190000
"Manager, Business Operations","5-7 years",120000
"Associate Publisher","8 - 10 years",60000
"Features editor","11 - 20 years",80000
"Brand Partnerships Marketing Manager","11 - 20 years",91000
"staff software engineer","8 - 10 years",897500
"Customer services coordinator","5-7 years",20000
"Senior Online Editor","21 - 30 years",65500
"Head of partnerships","21 - 30 years",117000
"Data Practice Lead","8 - 10 years",131000
"Loan officer","11 - 20 years",59784
"Senior Database Engineer","11 - 20 years",110000
"Regulatory Manager","11 - 20 years",257000
"Network Supervisor","11 - 20 years",90000
"Associate Creative Director","8 - 10 years",121800
"eLearning Specialist","11 - 20 years",159000
"Instructional Technologist","21 - 30 years",164000
"Creative Development Manager","5-7 years",35000
"Software Developer Senior Engineer","11 - 20 years",122000
"Associate Scientist III","1 year or less",89000
"Cloud Security Advisor","11 - 20 years",141225
Instructor,"8 - 10 years",52000
"Director of Community","11 - 20 years",175000
"Principal Product Manager","11 - 20 years",487000
"Senior Developer Advocate","5-7 years",336000
"Training Coordinator","1 year or less",45000
"Immigration Caseworker","8 - 10 years",22800
"QA Engineer","21 - 30 years",135200
"School Support","11 - 20 years",68300
"Lead ad writer","11 - 20 years",39000
"Benefits Administrator","11 - 20 years",86000
"Web Product and Content Manager","8 - 10 years",80250
"Vice President of Engineering","11 - 20 years",288000
"Creative Project Manager","2 - 4 years",94500
"Lead Mechanical Engineer","11 - 20 years",185000
"Senior HR Generalist","21 - 30 years",152000
"Manager media relations","11 - 20 years",57200
"Lead Editor","11 - 20 years",88000
"Senior Content Marketing Manager","8 - 10 years",80000
"Director, Analyst","11 - 20 years",145200
"Senior Software Designer","21 - 30 years",110000
"Workforce Analyst","2 - 4 years",105000
"RPG Designer","11 - 20 years",25000
"Assessment officer","2 - 4 years",72399
"PPC consultant","5-7 years",26000
"Head of Marketing","8 - 10 years",236000
"Warehouse analyst","2 - 4 years",76000
"Marketing Automation Specialist","5-7 years",55000
"Dialysis PCT","2 - 4 years",39000
"Solutions Engineer","8 - 10 years",294000
"Cyber Security consultant","2 - 4 years",42500
"HR Diversity Manager","11 - 20 years",55000
"SCADA developer","2 - 4 years",25000
"Actuary 1","2 - 4 years",62000
"Home healthcare nurse","1 year or less",76800
"Project Management Associate","2 - 4 years",57560
"Security Analyst","11 - 20 years",118000
"Certified Inpatient Coder","8 - 10 years",64184
"Senior Director, Growth & Strategy","5-7 years",105000
"Grants Administration","5-7 years",42000
"Senior Infrastructure Engineer","11 - 20 years",210000
"Help Desk Supervisor","8 - 10 years",67000
"Narrative Designer","2 - 4 years",5427
"Senior Security Engineer","11 - 20 years",583000
"Excise Tax Analyst","5-7 years",47298
"European Quality Manager","5-7 years",71500
"Training and Professional Development Specialist","5-7 years",54000
"Digital Media Coordinator","11 - 20 years",52000
"Sr. PR Manager","21 - 30 years",128000
"IT Technology Specialist","11 - 20 years",42200
"Porting Team Captain","11 - 20 years",75000
"Massage Therapist","8 - 10 years",145000
"Software Consultant","5-7 years",85000
"Research Intern","1 year or less",31200
"Director of Football","8 - 10 years",400000
"Macro Strategist","5-7 years",150000
"Executive Director - School Level","11 - 20 years",131000
"Freelance writer","11 - 20 years",30000
Paramedic,"21 - 30 years",38360
"Clinical Applications Coordinator","11 - 20 years",70000
"Professional Engineer","8 - 10 years",83722
"Marketing  Producer","5-7 years",41600
Paraprofessional,"5-7 years",20000
"Senior Corporate Accountant","21 - 30 years",106000
"Senior web developer","21 - 30 years",175000
"Senior Assistant Manager","11 - 20 years",40500
"Enterprise Resource Planning Analyst I","2 - 4 years",57500
"Director, Marketing","11 - 20 years",313000
"Radiation Therapist","8 - 10 years",73300
"Principle Firmware Engineer","21 - 30 years",158000
"Network Engineer","11 - 20 years",314500
"Research Coordinator","1 year or less",122000
"Senior Digital Product Designer","5-7 years",108000
"Success Manager","11 - 20 years",130000
"Product reviewer","8 - 10 years",45000
"IT Director","11 - 20 years",493250
Dispatcher,"8 - 10 years",113915
"Covid-19 Response Coordinator","1 year or less",47250
"Environmental health technician","8 - 10 years",57000
"Warehouse Manager","2 - 4 years",42000
"Environmental Compliance","2 - 4 years",47000
"Environmental health specialist II","8 - 10 years",80891
Buyer,"5-7 years",400500
"Principal Technical Program Manager","11 - 20 years",235000
"Information Security Analyst","5-7 years",156300
"Principal Teacher","5-7 years",45150
"Developer (software engineer/programmer)","11 - 20 years",63750
"Quality Control Asphalt Technician","5-7 years",37500
"Senior Software Architect","11 - 20 years",155000
"Campus Recruiting Coordinator","5-7 years",64000
Devop,"21 - 30 years",101000
"PM Commercial property consultant","21 - 30 years",70000
"Senior paid ads manager","5-7 years",73500
"Assistant Supervisor","5-7 years",33000
"Senior Site Analyst","2 - 4 years",100000
"Customer Service","11 - 20 years",86500
"Delivery driver","11 - 20 years",38580
"Business Systems Administrator","21 - 30 years",67000
"Assurance Senior Associate","2 - 4 years",71000
"Digital pr director","8 - 10 years",58000
"Software Support","5-7 years",60000
"Communications Administrator","2 - 4 years",49000
"Senior Staff Writer","11 - 20 years",100000
"Senior Machine Learning Engineer","2 - 4 years",65000
"Director, Cybersecurity","21 - 30 years",193000
"Intake coordinator","5-7 years",23710
"Insurance Analyst","5-7 years",77000
"Research Data Scientist","1 year or less",60000
"Information Systems Specialist","5-7 years",80500
"Director Growth","8 - 10 years",460000
"Architect, Quality Engineering","8 - 10 years",142500
"Junior Digital Marketing Manager","5-7 years",34000
"Director of Student Services","8 - 10 years",115000
Buyer,"31 - 40 years",48500
"Multimedia Content Coordinator","8 - 10 years",40000
"Sr. Manager, OD & Change Management","11 - 20 years",118000
"Sales Support Analyst","5-7 years",55000
"Sr. Content Editor","2 - 4 years",63000
"Associate Director, Annual Giving","11 - 20 years",82404
"Director of Planning","21 - 30 years",70000
"Staff product designer","11 - 20 years",347000
"Digital content editor","8 - 10 years",45000
"Desktop Engineer","5-7 years",98000
"Data Consultant","2 - 4 years",145000
"Admin Team Leader","11 - 20 years",29000
"Technical Applications Specialist","11 - 20 years",65336
"Clinical Analyst","2 - 4 years",78500
"Junior Software Developer","2 - 4 years",137950
"Consumer Relations Manager","11 - 20 years",91569
"Senior IT Specialist","11 - 20 years",120000
"VP of Analytics","21 - 30 years",160000
"Food Service Manager","5-7 years",45700
"IT Operations Manager","21 - 30 years",103000
"Editorial, Design, and Production Coordinator","8 - 10 years",42000
"Senior program director","11 - 20 years",114000
"Wellbeing Officer","11 - 20 years",30746
"Letter Carrier","8 - 10 years",80000
"Sr. Video Editor","11 - 20 years",60000
"Accounts Payable Supervisor","11 - 20 years",27500
Postdoc,"5-7 years",50000
"Program Manager, Recruitment","11 - 20 years",50073
"Computer Technician","5-7 years",54000
"Sr. Product Manager","41 years or more",171000
"Data and layout","8 - 10 years",44678
"senior cyber security consultant","8 - 10 years",109000
"Senior Analyst, Management Consulting","2 - 4 years",7639
"Director of Desktop Services","21 - 30 years",74000
"office specialist","11 - 20 years",42240
"Media executive","8 - 10 years",32000
"Digital Account Manager","11 - 20 years",65300
"Technology and Media Services Coordinator","8 - 10 years",40000
"Paid media manager","5-7 years",69500
"Production Coordinator","11 - 20 years",357620
"Cyber Security Manager","21 - 30 years",71000
Caseworker,"8 - 10 years",34112
"Editorial Lead","11 - 20 years",110000
"Analytical technical services manager","8 - 10 years",75000
Chaplain,"11 - 20 years",50000
"Community Manager","2 - 4 years",44000
"Billing Clerk","21 - 30 years",39820
"QA Coordinator","11 - 20 years",36800
"Research Program Manager","11 - 20 years",96000
"Risk and regulation consultant","11 - 20 years",67000
"Digital Content Specialist","11 - 20 years",400000
"Youth Program Coordinator","2 - 4 years",32000
"Beauty Consultant","11 - 20 years",25450
"Medical Fellow","5-7 years",68000
"Lead Administrator","8 - 10 years",27000
"Store Manager","31 - 40 years",152000
Cataloguer,"11 - 20 years",42000
"Radio Producer","2 - 4 years",23000
"freelance illustrator","2 - 4 years",6600
"Vice President, finance","11 - 20 years",345000
"Digital Marketing Strategist","21 - 30 years",77500
"Teacher of History and Sixth Form transition lead","5-7 years",35000
"Assistant Editor","2 - 4 years",12000
"Public Affairs Consultant","8 - 10 years",85000
"Director of Software Engineering","11 - 20 years",599000
"Test Engineer 2","8 - 10 years",90201
"Documentation Specialist","2 - 4 years",60500
"VP Product","21 - 30 years",200000
"Japanese to English Translator","8 - 10 years",3600000
"Event Coordinator","8 - 10 years",80000
"Design Supervisor","11 - 20 years",75000
"VM BACKOFFICE COORDINATOR","11 - 20 years",59000
SDET,"8 - 10 years",140000
Researcher,"2 - 4 years",280824
"Retail Channel Manager","5-7 years",66000
"Drug Counsellor","1 year or less",43000
"Exam Development","11 - 20 years",90000
"Social media content creator","5-7 years",73000
"Software Engineer Mid","2 - 4 years",38600
"Behavioural health vocational coach","5-7 years",39000
"Associate Director of Development Services","11 - 20 years",80164
"Classroom assistant & informal educator","1 year or less",19100
"freelance executive producer","11 - 20 years",185000
"User Operations associate","11 - 20 years",47500
"Director of Security/CISO","21 - 30 years",174000
"QA Team Lead & Scrum Master","31 - 40 years",110000
"Staff Editor","21 - 30 years",59500
"Freelance linguist","8 - 10 years",48000
"Sales Strategy Analyst","5-7 years",169000
"University Archivist","11 - 20 years",75000
"Human Factors Engineer","11 - 20 years",129851
"Sr UX designer","11 - 20 years",434000
"Audiovisual Design Associate","11 - 20 years",85000
"animal control officer","11 - 20 years",82908
"Assessment Coordinator","11 - 20 years",45000
"Senior Writer","5-7 years",84000
"Commercial manager","11 - 20 years",54000
"Director of Human Resources","8 - 10 years",181605
"Head of events","21 - 30 years",62000
"Agile team lead","11 - 20 years",106000
"COVID19 Non-Clinical Case Manager","5-7 years",58000
"Congressional Relations Officer","11 - 20 years",144000
"Delivery Driver","8 - 10 years",47000
"Physician Assistant","1 year or less",88000
"Senior Technical Account Manager","11 - 20 years",152000
"Global Recruitment Manager","5-7 years",90000
"Director of Advocacy and Engagement","11 - 20 years",69000
"Manufacturing Engineer","21 - 30 years",218000
"Medicare Sales","2 - 4 years",51280
"Development Engineer II","11 - 20 years",100000
"Senior Principal Software Engineer","11 - 20 years",290000
"Senior Research Area Specialist","11 - 20 years",85000
"Chief Data Scientist","5-7 years",2500
"Project accountant","11 - 20 years",133600
"Cyber Security Engineer 2","8 - 10 years",106742
"Head of Product","11 - 20 years",438600
"RF System Engineer","5-7 years",100000
"Business Process Consultant Logistics","11 - 20 years",77700
"Remote Manager/Online Customer Service","21 - 30 years",29000
"IT Accessibility Analyst","8 - 10 years",74000
"Sales Assistant","41 years or more",46000
"Coordinator of Academic Advising","8 - 10 years",37500
Professor,"5-7 years",66000
"Customs Specialist","5-7 years",27000
"Purchasing Specialist","5-7 years",80000
"Senior Drafting Lead","21 - 30 years",116600
