City,Industry,Average_Salary
Mountainview,"Marketing, Advertising & PR",92700
Brisbane,"Media & Digital",215600
"Small City",Law,225000
"New Orleans","Property or Construction",45000
"Saint Petersburg","Business or Consulting",71400
lynnwood,Retail,46000
"Sugar land","Education (Primary/Secondary)",120000
"Long Beach","Media & Digital",45000
"Winter Haven","Social Work",42000
"Northern Virginia (Washington, DC metro)","Government and Public Administration",163000
"Bay Area","Business or Consulting",105000
Unknown,IT,70700
Olathe,"Health care",35000
Scottsdale,"Health care",63000
Redding,"Computing or Tech",58500
Alamogordo,"Education (Primary/Secondary)",60000
Brisbane,Mining,128128
Erie,"Engineering or Manufacturing",103000
Tulsa,"Social Work",45584.5
"Seattle, wa",Retail,87000
"small college town","Education (Higher Education)",91000
"Watertown, MA","Computing or Tech",152300
Omaha,"Biomedical Research",112500
Sydney,Internet,223300
Minnetonka,"Media & Digital",39000
Goma,Nonprofits,68544
Hopewell,Insurance,56000
"New York City","Online education",75000
Lincoln,"Hospitality & Events",29000
Cardiff,"Accounting, Banking & Finance",23985
Bournemouth,"Accounting, Banking & Finance",19557
Montreal,"Agriculture or Forestry",122400
Reston,Law,166666.66666666666
Syracuse,"Marketing, Advertising & PR",56000
Trumbull,"Health care",38480
"Washington DC","Health care",109625
"Hartford County",Entertainment,36400
Plainfield,"Computing or Tech",167000
"Menlo Park",Law,180000
Spokane,Law,71194
"Birmingham, England","Computing or Tech",27306
Richardson,"Computing or Tech",92000
Portsmouth,"Utilities & Telecommunications",16974
Monmouth,"Education (Primary/Secondary)",36000
Durham,"Transport or Logistics",180000
Reno,"Utilities & Telecommunications",72000
Southfield,"Marketing, Advertising & PR",70000
Boston,finance,130000
"Toronto Ontario Canada","Government and Public Administration",221680
Guildford,"Computing or Tech",36900
Grimes,"Computing or Tech",122750
Grapevine,"Government and Public Administration",51000
Chesterfield,Nonprofits,27640
Montreal,"Information Management/Archives",74800
Austin,"public health",62000
Middleton,Pharmaceuticals,56000
Montclair,"Social Work",74400
Malvern,"Computing or Tech",115333.33333333333
"Halifax, Nova Scotia","Agriculture or Forestry",58480
Newnan,"Education (Primary/Secondary)",64000
Edmonton,"Media & Digital",69156
"West Hartford","Health care",31900
"South Orange","Computing or Tech",603000
Milwaukee,"Media & Digital",95000
Dayton,"Education (Higher Education)",53923
Anchorage,Libraries,62000
Grants,"Utilities & Telecommunications",130000
Seattle,Strategy,150000
Laurel,"Utilities & Telecommunications",165000
"Newcastle, UK","Computing or Tech",33948
Madrid,"Business or Consulting",27356.2
Billings,"Health care",172000
GTA,"Utilities & Telecommunications",118320
Huntsville,"Education (Higher Education)",61000
Fredericksburg,"Government and Public Administration",130893
Alexandria,"Media & Digital",144000
Lenoir,"Art & Design",80000
Guelph,Sales,40800
Dahlgren,"Computing or Tech",134708
"Sydney, Australia","Education (Higher Education)",140140
"Rural town (prefer not to disclose)","Health care",171360
Lowell,Retail,58000
Ewing,"Accounting, Banking & Finance",111000
"San Diego",Software,105000
Bothell,"Engineering or Manufacturing",100000
Boston,Fundraising,53000
"Boston, MA",Law,85000
xxx,"Marketing, Advertising & PR",44000
DC,"Research/Social Science",110000
Edmonton,"Business or Consulting",138720
Redding,"Health care",43201.5
Elkridge,"Computing or Tech",168067
"Washington, D.C.","Business or Consulting",92666.66666666667
Potomac,"Accounting, Banking & Finance",105000
"Laguna niguel","Computing or Tech",102000
Radnor,"Education (Higher Education)",60000
Toronto,"Research (health)",100640
Edmonton,Library,74800
"New Yor",Nonprofits,87000
"SF Bay Area",Sales,105000
"central nj",Nonprofits,93000
"Los Angeles","Affordable Housing Real Estate Development (nonprofit)",144200
Alexandria,Science,160000
"White Plains",Nonprofits,111500
"Ann Arbor",Retail,25000
Montevideo,"Computing or Tech",84000
Duluth,"Computing or Tech",55041.333333333336
Newport,"Public Library",63000
"New York",e-comm,115000
Danville,"Health care",32000
"Green Bay",Law,150000
"Asbury Park","Media & Digital",73000
Tampa,"Social Work",49000
Manhattan,"Health care",130000
"Rolling Meadows",Libraries,53274
Karachi,"Education (Higher Education)",18700
Gaithersburg,"Computing or Tech",137000
Melbourne,Entertainment,131000
Dallas,"Food Service",21000
Xx,Nonprofits,90000
Amsterdam,"Marketing, Advertising & PR",72070
"New York","Wholesale textile manufacture and sales",38000
Lowell,"Education (Primary/Secondary)",72000
Draper,"Computing or Tech",106500
"Belo Horizonte","Computing or Tech",158600
Cuernavaca,"Computing or Tech",93000
Meridian,Insurance,115000
"Park City","Computing or Tech",175000
"Newton Falls","Education (Primary/Secondary)",35360
"Concord ma","Health care",108000
"Sauk City","Health care",35500
Fayetteville,"Government and Public Administration",92000
"New Haven","Education (Primary/Secondary)",57250
Phialdelphia,Nonprofits,79500
Boston,Libraries,65000
Andover,"Computing or Tech",139000
"North Carolina","Education (Higher Education)",150000
Nashville,"Sales Operations",55000
Detroit,Publishing,53600
Pullman,"Natural resources",56997
Huntersville,"Computing or Tech",90300
"Wichita (remotely)","Computing or Tech",100000
"Farmington Hills","Hospitality & Events",52200
Columbus,Library,21000
"Simi Valley","Government and Public Administration",84448
Roswell,"Education (Primary/Secondary)",91000
"Boca Chica","Engineering or Manufacturing",76000
Kingsport,"Transport or Logistics",55000
"Chevy Chase","Computing or Tech",175000
Woburn,Retail,38480
"Ft lauderdale","Art & Design",85000
46901,"Education (Higher Education)",56000
Tacoma,"Per Sitter",43800
Anon,"Education (Higher Education)",82000
Hamilton,"Engineering or Manufacturing",114680
Bigfork,"Accounting, Banking & Finance",62088
"Austin, TX","Computing or Tech",169000
"Remote Worker out of Wilmington","Health care",92000
Providence,"Recruitment or HR",44000
Seattle,"Pension Benefit Administration",72000
Fairfax,"Media & Digital",20000
Golden,"Computing or Tech",162750
Danvers,"Engineering or Manufacturing",85000
Boston,"Lab Science (Biotech)",83200
Shreveport,"Computing or Tech",150000
Birm,Retail,66000
Gainesville,"Computing or Tech",96250
Perth,"Transport or Logistics",128041.05
Surrey,"Engineering or Manufacturing",68000
"Springfield, ma","Art & Design",79132
Lloydminster,Law,88400
"n/a (remote from wherever I want)","Computing or Tech",51600.96
Knoxville,Wholesale,69000
Sturbridge,Nonprofits,54000
Ocean,"Education (Primary/Secondary)",57000
"New Orleans",Horticulture,37440
"Orange County","Accounting, Banking & Finance",140000
Ayer,"Accounting, Banking & Finance",140000
Chantilly,"Computing or Tech",168500
Charlottesville,Nonprofits,78000
Milpitas,"Supply Chain!",144656
Greenville,"Public Library",44714
Brooklyn,"Engineering or Manufacturing",100000
"Rohnert Park, CA","Computing or Tech",175000
Kalamazoo,Nonprofits,47840
Minneapolis,"Research - academic",66000
"Remote - Washington DC Area",Sales,150000
Mitchell,"Computing or Tech",110000
Toronto,"Industry unknown",168640
Toronto,Pharmaceuticals,149600
Reno,"Accounting, Banking & Finance",132500
"Ellicott City","Computing or Tech",130000
Hutchinson,Law,54325
Hamilton,"Pet Care",41600
"Seven Hills, but really Remote",Translation,60000
Missoula,"Media & Digital",39527
Karachi,"Computing or Tech",7250
Vienna,"Business or Consulting",49683.2
"Rochester Hills","Engineering or Manufacturing",66000
"Milwaukee, WI","Computing or Tech",66000
Knoxville,"Education (Primary/Secondary)",44000
Denton,"Government and Public Administration",62000
Boston,Research,68681
Mattawan,"Government and Public Administration",48500
Collegeville,"Pharmaceutical research",120000
Minneapolis,"Veterinary medicine",48000
"West TN","Government and Public Administration",41556
Patchogue,"Education (Primary/Secondary)",43035
Providence,"Accounting, Banking & Finance",105450
"A small city","Accounting, Banking & Finance",70000
Auckland,"Utilities & Telecommunications",186340
Warsaw,"Art & Design",66500
Buffalo,Insurance,43500
Provo,"Computing or Tech",82000
Pittsburgh,"Medical Technology",90000
Charlottesville,"Recruitment or HR",93000
Sharon,"Business or Consulting",65000
"Victoria, BC",Science,59840
"fort Polk","Computing or Tech",47000
Sarasota,"Engineering or Manufacturing",32000
Indianapolis,Sales,81333.33333333333
"Central Virginia","Education (Higher Education)",56000
Regina,"Agriculture or Forestry",190400
"Las Cruces",Sales,64000
"Grand Junction","Health care",75000
Mankato,"Accounting, Banking & Finance",43680
"Norristown, PA",Nonprofits,44000
Hartforz,"Accounting, Banking & Finance",100000
Nashua,"Health care",54000
"Santa Ana",Law,29120
Detroit,"Utilities & Telecommunications",142000
Schenectady,Nonprofits,47500
"Suburbs of Philadelphia","Social Work",90000
"Walnut Creek","Marketing, Advertising & PR",87000
"Morristown (REMOTE)","Media & Digital",52400
Philadlephia,"Health care",64000
"redacted (sorry)","Engineering or Manufacturing",139000
Rockville,"Media & Digital",115000
Fremont,"Education (Primary/Secondary)",85000
Gallatin,"Accounting, Banking & Finance",40000
"Saint Paul","Transport or Logistics",90000
Jacksonville,"Education (Higher Education)",74000
"Tennant Creek","Government and Public Administration",96096
Newcastle,"Government and Public Administration",26531.1
"Milwaukee area","Government and Public Administration",83000
"Mountain View","Government and Public Administration",172500
"US govt employee overseas, country withheld","Government and Public Administration",82000
Bellingham,"Property or Construction",47840
"San Diego","Recruitment or HR",59833.333333333336
Rochester,"Recruitment or HR",65000
Texarkana,"Health care",130000
Raleigh,Entertainment,200000
Elkridge,"Accounting, Banking & Finance",31400
"San Diego","Pharmaceutical Industry",96000
Minnesota,"Health care",53000
Morristown,Law,183000
"Portland area","Media & Digital",50000
Tampa,Retail,33280
Oshkosh,Sales,24900
"To Much Detail","Computing or Tech",160000
Roseville,"Health care",80000
Livermore,"Private Sector Emergency Management",115000
Lowell,"Health care",56600
Pittsburgh,Entertainment,73000
Lakewood,"Recruitment or HR",55000
Tacoma,"Education (Primary/Secondary)",107500
Morrisville,"Health care",78506
"Riverside, CA","Property or Construction",91500
Kalamazoo,"Business or Consulting",116000
"Little Rock","Real Estate",77000
Camarillo,"Engineering or Manufacturing",92000
Silverdale,"Computing or Tech",72
"New Jersey","Consumer Product Goods",75000
Vernal,"Education (Primary/Secondary)",27040
Richmond,"Recruitment or HR",65126
Montpelier,"Hospitality & Events",35360
"Field employee","Business or Consulting",91000
Pittsfield,"Government and Public Administration",91000
Tucson,Biotech,125000
Laie,"Recruitment or HR",71944
"Oak Ridge","Computing or Tech",110800
Vallejo,Nonprofits,53560
Stamford,Law,200000
"Upper Marlboro",Nonprofits,68000
"Richmond VIC","Engineering or Manufacturing",84700
"Victoria, BC","Hospitality & Events",42432
"Fort Wayne",Insurance,55000
Troy,"Health care",52000
Houston,"Clinical Research",126000
Adelaide,Science/Biotech,100100
Chandler,"Accounting, Banking & Finance",55000
Laurel,Law,33280
Adelaide,"Media & Digital",150920
lethbridge,Nonprofits,59840
Malaysia,"Engineering or Manufacturing",5265
"Dublin, CA",Retail,100000
"Lincoln, RI","Accounting, Banking & Finance",56500
Peoria,Retail,34000
Edison,"Art & Design",115000
"Fountain Valley","Computing or Tech",130000
"Remote (Olympia)","Computing or Tech",150000
"Salt Lake City","Media & Digital",51500
Lowell,"Accounting, Banking & Finance",48000
Kampala,Nonprofits,100000
"Sydney, NSW, Australia","Education (Higher Education)",120120
Albuquerque,Retail,36289
upstate,"Education (Higher Education)",64600
Seattle,Philanthropy,140000
"Bay City","Transport or Logistics",54080
Burbank,"Health care",31000
Midland,"Oil & Gas",72250
"Oklahoma City",Law,125000
Portland,"Early Childhood Education",117500
"Arlington Heights","Business or Consulting",40000
"Red Deer","Marketing, Advertising & PR",92480
Spokane,"Computing or Tech",101600
Columbia,"Hospitality & Events",75500
"Broken Arrow","Computing or Tech",32747
Winnetka,"Education (Primary/Secondary)",112000
Naperville,"Accounting, Banking & Finance",76000
Gulfport,Law,80000
Harrisburg,"Transport or Logistics",91000
Casper,"Education (Primary/Secondary)",78000
"Santa Clara","Health care",95000
"Washington, DC","Hospitality & Events",75000
Grapevine,"Computing or Tech",103000
Portland,"Publishing: Science, Academic, Technical",81500
Toledo,"Accounting, Banking & Finance",39000
"Denver, Chicago","Health care",80000
"South Jordan","Computing or Tech",73000
"New York","Real Estate Affordable Housing",120000
Narnia,"Marketing, Advertising & PR",100000
Edmonds,"Education (Primary/Secondary)",91243
"Denver CO","Computing or Tech",189000
renton,"Transport or Logistics",84000
Perth,"Property or Construction",100100
London,"Transport or Logistics",55666.51666666666
Irving,"Engineering or Manufacturing",77250
"Eagle River",Childcare,28100
"Metro west","Engineering or Manufacturing",169000
Sacramento,"Utilities & Telecommunications",90000
Madison,Retail,150000
Innsbruck,"Utilities & Telecommunications",61180
"Pine Brook","Transport or Logistics",55000
Cocoa,"Art & Design",27040
"Surrey, British Columbia, Canada","Government and Public Administration",70720
Several,"Computing or Tech",130
Salem,Insurance,99000
Tacoma,Clergy,50000
Multiple,"Education (Higher Education)",48000
Plymouth,"Social Work",71000
Berlin,"Transport or Logistics",122360
"Saint Paul, MN",Retail,32448
Syracuse,"Computing or Tech",120000
Manila,"International development",156000
Atascadero,"Transport or Logistics",180000
Lafayette,"Computing or Tech",81000
Seoul,"Media & Digital",38000000
Köln,"Computing or Tech",69920
"Des Moines","Social Work",40000
"San Antonio","Education (Primary/Secondary)",69250
Canberra,Research,132683.32
Salem,"Computing or Tech",89187
"Ft Lauderdale","Computing or Tech",185000
"Burnaby BC","Utilities & Telecommunications",85680
"Fort Worth","Retail call center",55000
Nassau,"Health care",50000
"Menlo Park","Computing or Tech",209000
"Eugene, OR","Agriculture or Forestry",46000
Pittsburg,"Accounting, Banking & Finance",42000
Irvine,Insurance,52000
"Renton, WA","Health care",86000
"Santa Monica","Computing or Tech",74000
"Camp hill","Computing or Tech",73000
"Redwood City",Fundraising,155000
Brooklyn,"Business or Consulting",88775
Campbell,"Education (Primary/Secondary)",69372
Shanghai,"Engineering or Manufacturing",218000
Wellington,"Libraries and Archives",164780
Nuremberg,Retail,78660
Berlin,"Media & Digital",53270.3
Sydney,Research,184800
"Orange County",Law,140000
Würzburg,"Media & Digital",51566
Reston,"Utilities & Telecommunications",56000
"Fort Wayne",Retail,55190
"British Columbia (not a city, but I am rural)",Nonprofits,88400
Brussels,"Engineering or Manufacturing",74290
"San Antonio","Call center",70000
Braunschweig,"Computing or Tech",45011
Parid,"Computing or Tech",100000
Sebastopol,"Computing or Tech",235000
"Three Rivers","Engineering or Manufacturing",80000
UK,"Accounting, Banking & Finance",28044
Seattle,Construction,80000
Valletta,"Computing or Tech",36708
Lakeland,"Government and Public Administration",95000
Johannesburg,"Education (Primary/Secondary)",3761100
"San Antonio","Hospitality & Events",45000
Frankfurt,"Computing or Tech",68463.33333333333
Riyadh,"Computing or Tech",163200
Nashville,"Recruitment or HR",43412
Coventry,"Computing or Tech",39114
barxelona,"Utilities & Telecommunications",49818
Canberra,"Computing or Tech",708400
Clarksburg,"Computing or Tech",116500
Scottsdale,"Hospitality & Events",115000
"Puyallup, WA","Computing or Tech",187000
Germany,"Computing or Tech",690460
Campbell,"Computing or Tech",165000
"I don't want to say but NHS pay bands are national","Health care",14270.706
"Lake Elsinore",Software,200000
Auckland,"Market research",34000
"Milton Keynes","Clinical trials",50184
Lansing,"Hospitality & Events",64500
North,"Accounting, Banking & Finance",50922
"Mountain view","Health care",259966.66666666666
"Grand Forks",Retail,24000
Edinburgh/London/Dublin/Manchester,"Computing or Tech",70848
HOBART,"Government and Public Administration",107063.88
Richland,Retail,41000
Cheyenne,"Health care",45000
Saarbrücken,"Computing or Tech",64676
Alton,"Property or Construction",16117.92
Northampton,"Accounting, Banking & Finance",18877.056
"Seattle, WA","Government and Public Administration",131000
Coventry,Nonprofits,19844.82
"Cupertino, CA","Computing or Tech",133000
"Los Angeles","Transport or Logistics",108630
Bristol,"Marketing, Advertising & PR",147600
Bath,"Accounting, Banking & Finance",33210
Sofia,"Computing or Tech",35178.5
"I live in Orlando, but I am full-time remote",Nonprofits,41600
"Bedford, UK",Retail,15498
SF,Sales,60000
Mumbai,Insurance,945000
Brooklyn,Fashion/e-commerce,58500
Crawley,"Computing or Tech",68265
Canberra,"Education (Higher Education)",208054
Johannesburg,"Computing or Tech",24357600
Lancaster,"Computing or Tech",61300.5
Tallinn,"Accounting, Banking & Finance",24437.04
Auckland,Manufacturing,184800
Surrey,"Art & Design",27200
Tawau,"Health care",48000
Seattle,"Hospitality & Events",67333.33333333333
"Arroyo Grande","Accounting, Banking & Finance",75000
Limerick,"Computing or Tech",26220
London,Conservation,26568
"Reading, UK","Marketing, Advertising & PR",21402
Remote/London,"Business or Consulting",84870
Oxford,Science,28779.048
"Outside London","Computing or Tech",44280
Madrid,"Clinical research and development",56810
Basel,"Media & Digital",60000
Washington,Retail,55125.4
"Oxford, UK","Education (Higher Education)",18450
"El jadida","Engineering or Manufacturing",28000
Amsterdam,Sales,29965
Dublin,"Utilities & Telecommunications",50692
Georgetown,"Computing or Tech",97000
"Hemel Hempstead","Utilities & Telecommunications",19557
Glasgow,"Education (Primary/Secondary)",11335.68
"N/A - remote work","Art & Design",19759.95
"Can't say without being identifiable","Education (Higher Education)",123200
Gloucester,"Computing or Tech",26199
"would remove my anonymity to state this","Media & Digital",100100
Elko,Mining,55140
"Stratford upon avon","Marketing, Advertising & PR",16974
Adelaide,Law,130900
Glasgow,Travel,70110
Auckland,"Business or Consulting",315700
"Newton Poppleford","Computing or Tech",34686
"South Bend","Recruitment or HR",65000
Sliedrecht,"Recruitment or HR",63417.44
KL,"Computing or Tech",38760
Barcelona,"Games development",41952
"St. Petersburg","Government and Public Administration",56000
Glasgow,Science,14872.176
"Vancouver, BC","Law Enforcement & Security",54400
Riga,"Computing or Tech",32629.333333333332
Brno,"Computing or Tech",1300000
Africa,Nonprofits,90000
Concord,"Leisure, Sport & Tourism",71000
Katowice,"Computing or Tech",60000
"St Nazaire","Leisure, Sport & Tourism",12910.728
Manchester,"Business or Consulting",43466
"Fort Worth",Automotive,75000
Asheboro,"Education (Primary/Secondary)",54000
WFH,"Education (Higher Education)",49446
Brighton,Digital,31630.68
Lanham,"Health care",88000
"Tysons Corner","Business or Consulting",70199
-,"Government and Public Administration",30415.2
Novi,Fintech,110000
Kittanning,"Hospitality & Events",34500
"Gold Coast","Accounting, Banking & Finance",115500
Bandung,"Education (Higher Education)",180000000
Wyandotte,"Utilities & Telecommunications",65000
"Brighton & Hove","Marketing, Advertising & PR",25461
"Quebec City","Computing or Tech",171360
Lakewood,Manufacturing,107000
Amsterdam,Entertainment,52440
"Milton Keynes","Transport or Logistics",50184
"Remote, from a small city in Romania","Computing or Tech",62730
-,"Media & Digital",24354
"Havre de Grace","Health care",105000
Letterkenny,"Education (Primary/Secondary)",49632.712
Quito,"Engineering or Manufacturing",84000
Andover,"Health care",69000
erie,"Hospitality & Events",37440
Osaka,Entertainment,657018000
Conshohocken,"Computing or Tech",150000
Goshen,"Computing or Tech",48000
Houston,Journalism,50000
"Bellingham (remote)","Computing or Tech",199000
Conshohocken,"Recruitment or HR",56000
"Los Gatos",Entertainment,388000
"Lancaster UK","Health care",33765.714
Chicago,"Consumer Products design",69000
"North Bay","Social Work",68000
"Sydney, Australia","Leisure, Sport & Tourism",90000
Hull,"FMCG development",24002.712
Barrie,Law,102000
"Palm Beach","Leisure, Sport & Tourism",80000
Murfreesboro,"Industry unknown",67254.5
Amsterdam,Biotech,53751
"Machesney Park","Accounting, Banking & Finance",55000
"Stevens Point","Health care",51600
Morristown,"Government and Public Administration",41000
Naperville,Retail,33000
"Kuala Lumpur","Recruitment or HR",50000
"Delaware County","Health care",150000
"Harlingen, TX (Remote Work)","Computing or Tech",60000
"Brooklyn Park","Engineering or Manufacturing",110000
"North Cape, PE",Nonprofits,152320
"New Castle","Business or Consulting",149990
Adelaide,"Leisure, Sport & Tourism",77000
Midland,"Engineering or Manufacturing",132000
"Oklahoma City","Business or Consulting",137000
Zimmychoos,Retail,50000
"Red Hook","Computing or Tech",172000
"Nashville metro area","Computing or Tech",116500
"Smiths Station","Education (Primary/Secondary)",47400
Charlotte,"Industry unknown",74000
"Des Moines","Recruitment or HR",52000
Addison,"Computing or Tech",130625
Uxbridge,"Property or Construction",62000
Memphis,"Hospitality & Events",102000
Chesterfield,Retail,75660
Reims,"Education (Higher Education)",15732
"East Rutherford","Leisure, Sport & Tourism",100000
Abilene,"Property or Construction",41600
McClean,"Computing or Tech",160000
Valencia,"Art & Design",18354
"Kansas City","Hospitality & Events",78000
Tallahassee,"Computing or Tech",155600
Harrisburg,"Health care",60035.166666666664
"San Antonio","Social Work",60000
Noordwijk,"Computing or Tech",48070
Louisville,"Social Work",43500
Rosemont,"Recruitment or HR",83000
Waukesha,"Engineering or Manufacturing",48720
Arvada,"Recruitment or HR",107000
Southampton,"Utilities & Telecommunications",27490.5
Bowmanville,"Accounting, Banking & Finance",50320
Brisbane,"Education (Primary/Secondary)",120937.74
CHESAPEAKE,"Government Contracting",123000
Berlin,Retail,45041.59
Pueblo,"Government and Public Administration",58116
"College Park","Hospitality & Events",51800
Savannah,"Law Enforcement & Security",48000
Amarillo,"Education (Higher Education)",49000
Orlando,Retail,52000
Syracuse,"Government and Public Administration",135000
Bethesda,"Accounting, Banking & Finance",103000
Austin,"Food & Beverage",67000
"Midwest region","Government and Public Administration",40000
"Piscataway, NJ","Recruitment or HR",60000
"Queen Creek","Automotive Repair",39520
Katy,"Recruitment or HR",152000
"port st lucie","Government and Public Administration",44000
Accra,Nonprofits,82583
"Lake Mary","Computing or Tech",61000
"White Plains","Marketing, Advertising & PR",80000
"My house","Computing or Tech",185000
Greensboro,"Computing or Tech",50000
"Cambridge / Remote","Computing or Tech",150000
Atlanta,"Commercial Real Estate",75000
"Adelaide, South Australia",Nonprofits,107800
Chesterfield,"Health care",50336
"Colorado Springs","Aerospace and defence/Government Contracting",52000
Knoxville,"Recruitment or HR",61750
Durham,Law,42205.333333333336
Hamden,"Survey Research/Public Policy Research",76000
"Buenos Aires","Government and Public Administration",780000
"Crystal Lake","Recruitment or HR",52000
Saginaw,"Accounting, Banking & Finance",57000
"Buffalo, NY",Insurance,100000
"Isle of Lewis","Health care",20664
"Somerville /Cambridge",Retail,24000
"Red bank",Law,130000
Danbury,"Agriculture or Forestry",113000
Vancouver,"Industry unknown",77000
Gatineau,Sales,224400
Bristol,Law,18450
Lenexa,"Recruitment or HR",80000
Annapolis,Entertainment,12000
"North Hempstead","Computing or Tech",100000
"Platte City","Accounting, Banking & Finance",65000
Düsseldorf,"Education (Higher Education)",43.7
Brookfield,"Computing or Tech",120000
"Washington, DC",Service,70000
"East Windsor","Marketing, Advertising & PR",48000
Augusta,"Computing or Tech",56500
Laramie,Nonprofits,50000
Dearborn,Nonprofits,37000
"Rural Ireland","Marketing, Advertising & PR",21850
"San antonio","Veterinary m&a",49000
City,"Education (Higher Education)",79000
"Bellevue, wa, usa","Computing or Tech",180000
"Texas City","Recruitment or HR",68473
Calgary,"Oil and gas",170000
Winston-Salem,"Language Services company, unsure the broad category to use. Our clients are branding agencies, and their clients are frequently (but not always) pharmaceutical companies.",70000
"Makati City","Business or Consulting",600000
Beijing,"Computing or Tech",38526
"Fox Valley","Engineering or Manufacturing",64000
Everett,"Computing or Tech",162500
"Prefer not to respond","Public Library",36000
"Remote - previously NYC","Marketing, Advertising & PR",64000
Cardiff,"Computing or Tech",46863
Sf,Nonprofits,90000
Wellington,Procurement,197120
Dubli,"Government and Public Administration",39330
"St. Marys","Engineering or Manufacturing",102000
Frisco,"Recruitment or HR",79000
Lafayette,Law,189000
"Colorado Springs",Retail,34924
Cleveland,Retail,93500
Waco,"Recruitment or HR",68000
"Falls Church","Health care",235000
Bloomington,Entertainment,111300
Burlington,"International Development",101900
Holland,"Property or Construction",41600
Rockford,"Leisure, Sport & Tourism",41600
Shreveport,"Transport or Logistics",85000
Sheboygan,"environmental compliance/engineering",87460
"Ottoville, OH","Recruitment or HR",75000
"Jackson, MS","Health care",51797
"Columbus, OH",Law,177500
Freeport,"Engineering or Manufacturing",156000
"Jackson Center","Engineering or Manufacturing",60000
Unknown,Church,50000
Beaverton,"Hospitality & Events",104000
"Los Angeles",Pharmaceuticals,120000
Memphis,Nonprofits,73500
Wilmington,"Marketing, Advertising & PR",64000
Cleveland,"Leisure, Sport & Tourism",120000
Pleasanton,"Engineering or Manufacturing",96000
Athens,"Utilities & Telecommunications",9439.2
Fresno,"Food & Beverage",113500
Shanghai,"Computing or Tech",390000
Tacoma,"Human services",33280
Chicago,"Real estate valuation",62000
Bakersfield,Law,125000
"Fort Worth",Retail,110000
London,Finance,200000
Chattanooga,"Computing or Tech",129245
"RTP (Raleigh-Durham)","Computing or Tech",142000
Dickinson,"Education (Higher Education)",40000
Englewood,"Transport or Logistics",160000
NYC,"Utilities & Telecommunications",105000
Fayetteville,Nonprofits,41753.333333333336
Miami,"Agriculture or Forestry",46000
Attleboro,Sales,65000
Meridian,"Recruitment or HR",78000
"Las Vegas","Social Work",39500
Draper,"Accounting, Banking & Finance",67500
Potsdam,"Computing or Tech",101000
Midlands,Nonprofits,13284
Traveling,"Property or Construction",24000
"I work majority for companies in the state of California.","Recruitment or HR",60000
Fairfax,"Libraries and Archives",39000
Wichita,"Property or Construction",58000
Helsinki,"Computing or Tech",56373
Arlington,"Communication Research",90456
Roseville,"Government and Public Administration",92000
Cleveland,"Human Resources",40
"Portland metro area","Utilities & Telecommunications",50000
Dunedin,"Computing or Tech",185000
Chambersburg,"Education (Higher Education)",1000
Albany,"Pharma & Biotech",125760
Parkersburg,"Health care",51500
Tewksbury,"Computing or Tech",85000
Gloucester,"Marketing, Advertising & PR",28265.4
"Weed, CA",Nonprofits,66560
Knoxville,"Business or Consulting",51028
Durango,"Health care",52000
"Washington, DC",Church,45000
Chester,Nonprofits,92000
Wilmington,"Transport or Logistics",54062
"Akron, Ohio","Education (Higher Education)",38500
Reston,"Accounting, Banking & Finance",57500
Frisco,"Education (Higher Education)",48000
"Saratoga Springs","Computing or Tech",120000
Montrose,"Recruitment or HR",49757
"Remote (this shouldn't be required)","Computing or Tech",155000
Lehi,"Accounting, Banking & Finance",140000
"College Station","Recruitment or HR",52000
"Coconut creek","Marketing, Advertising & PR",88500
Oxford,"Scientific Research",38339.1
Bangot,"Social Work",28080
Curitiba,"Computing or Tech",140000
Irving,"Education (Higher Education)",47000
"Allen Park","Education (Primary/Secondary)",48809
Buffalo,"Art & Design",63000
"Dallas, Texas","Computing or Tech",101291
Toronto,"Real Estate",61200
"Reading, UK","Engineering or Manufacturing",33948
"Culver City","Computing or Tech",170000
"Augusta - remote","Computing or Tech",110000
Metro-west,Nonprofits,35000
N/a,R&D,160000
Dallas,E-commerce,43450
"St. Louis","Marketing, Advertising & PR",88916.66666666667
"Prefer not to answer","Marketing, Advertising & PR",145000
"Near Chicago",Retail,112900
"Greater New York Metro Area","Computing or Tech",230000
Houston,"Energy (Oil & Gas)",120000
Jackson,Law,116250
Ames,"Government and Public Administration",68110
0,"Public Opinion Research",100000
Milwaukee,"Business or Consulting",46600
Yonkers,Nonprofits,135000
Valencia,"Computing or Tech",160000
Orlando,defence,71000
Bethesda,"Scientific research",63750
Eugene,Insurance,80000
"Green Bay",Entertainment,117500
"Washington D.C.","Government and Public Administration",71000
Longview,"Government and Public Administration",67037
Baltimore,Warehouse,37440
Nantucket,"Hospitality & Events",125000
Bolingbrook,"Engineering or Manufacturing",60000
"Hong Kong","Media & Digital",1199685
Minneapolis,"Association Management",49000
Basel,"Health care",93840
Ithaca,"Engineering or Manufacturing",83500
Columbus,Sales,99333.33333333333
"Hudson Valley NY","Education (Higher Education)",36400
"Eden Prairie, MN",Insurance,70000
Darmstadt,"Utilities & Telecommunications",78660
"Steamboat Springs","Media & Digital",32000
"Blue Bell",Insurance,74000
"Rock Hill","Engineering or Manufacturing",116000
Omaha,"Media & Digital",39520
"This would help identify me","Education (Higher Education)",67000
Pomona,"Engineering or Manufacturing",50835
"San Diego","Human Resources",40000
Wolverhampton,"Computing or Tech",22878
Schaumburg,Technology,98000
