Industry,Years_of_Professional_Experience_Overall,Number_of_Employees
"Landscape Architecture","8 - 10 years",1
Edtech,"5-7 years",2
"Retail mid level management","11 - 20 years",1
"Environment and sustainability","2 - 4 years",1
"Political Research","2 - 4 years",1
Environmental,"5-7 years",1
"Public Policy","5-7 years",1
"Ed tech","8 - 10 years",1
"association management","8 - 10 years",1
Literature,"11 - 20 years",1
Military,"8 - 10 years",1
student,"5-7 years",1
"Pharma R&D","21 - 30 years",1
Military,"2 - 4 years",1
Animation,"8 - 10 years",1
"Graduate Student","8 - 10 years",1
Automotive,"2 - 4 years",1
"Obligatory Military service","2 - 4 years",1
"I work at a property tax management company. Not sure where this fits in. Consulting maybe?","2 - 4 years",1
"digital commerce / ecommerce","5-7 years",1
"Supply Chain Operations","11 - 20 years",1
Manufacturing,"5-7 years",2
Maritime,"5-7 years",1
Soldier,"5-7 years",1
"Energy, Oil and Gas","8 - 10 years",1
Maintenance,"11 - 20 years",1
Cleaning,"8 - 10 years",1
Food,"8 - 10 years",1
IT,"8 - 10 years",1
"Forklift operator warehouse","5-7 years",1
"Adult education","2 - 4 years",1
"Quality Assurance","2 - 4 years",1
"Manufacturing/Consumer Packaged Goods","5-7 years",1
"Oil and gas exploration","2 - 4 years",1
"Pharmaceutical R&D","2 - 4 years",1
"Biotech R&D","5-7 years",1
Automotive,"8 - 10 years",1
"It security","11 - 20 years",1
"Administration in MLM","8 - 10 years",1
"Regulatory Affairs","11 - 20 years",1
"Social Research","31 - 40 years",1
"Funeral services","11 - 20 years",1
"Specialist clothing","1 year or less",1
"Family office","11 - 20 years",1
"Social research","1 year or less",1
"Clinical Research Manager - academic institution","8 - 10 years",1
"Product Management","11 - 20 years",1
Telecommunications,"5-7 years",1
Restaurant,"2 - 4 years",1
"Internal Communications","11 - 20 years",1
Warehousing,"5-7 years",1
"Education (Early Childhood Education)","11 - 20 years",1
Finance,"31 - 40 years",1
"Health and Safety","11 - 20 years",1
"Aerospace Manufacturing","21 - 30 years",1
"Waste Management","41 years or more",1
Distribution,"21 - 30 years",1
Rideshare,"2 - 4 years",1
CPG,"2 - 4 years",1
Homemaker,"5-7 years",1
"Environmental science","2 - 4 years",1
"User Experience Design","2 - 4 years",1
"Fast food","1 year or less",1
student,"11 - 20 years",1
"Behavioural Health","2 - 4 years",1
"Hardware Manufacturing","5-7 years",1
"Real Estate / Housing","11 - 20 years",1
"Research / Gov","2 - 4 years",1
Biology,"2 - 4 years",1
"Undergrad student","1 year or less",1
"Concrete Construction","2 - 4 years",1
Plumbing,"41 years or more",2
"I'm currently a student and don't have a job","2 - 4 years",1
"Industry unknown","41 years or more",1
"Wine & Spirits","5-7 years",1
"Social networks","41 years or more",1
