Industry,Gender,Highest_Level_of_Education_Completed,Average_Salary
"Early Education (corporate office)",Woman,"College degree",52000
"Community Management",Woman,"Some college",64000
"TIC (Testing, Inspection & Certification)",Man,"College degree",25092
"Business or Consulting","Other or prefer not to answer","Master's degree",90000
"Food Manufacture",Man,PhD,46494
Biologist,Woman,PhD,27306
"Business or Consulting",Man,"Some college",120168.57142857143
"Pet care industry",Woman,"Some college",35360
"Medical Research",Non-binary,"College degree",43000
"Food production",Woman,"College degree",74540
"Instructional Designer",Woman,"College degree",80000
"School District Pre-K-12",Woman,"Master's degree",40200
"Science - QC lab",Woman,"Master's degree",141362.76
"Business or Consulting",Unknown,"Master's degree",74921
publishing/edtech,Woman,"College degree",69000
"Pest Control",Woman,"Master's degree",75000
"International development",Woman,"Professional degree (MD, JD, etc.)",85000
Pharmaceuticals,Woman,"Master's degree",118333.33333333333
"Food & Nutrition","Other or prefer not to answer","College degree",105000
"defence Contractor",Woman,"Master's degree",69000
"Library (university)",Woman,"Master's degree",39964.524
Technology,Woman,"Master's degree",111500
"Public safety",Woman,"College degree",82550
"Health care",Unknown,"Master's degree",162500
"Government and Public Administration",Non-binary,"High School",24354
"Medical research",Man,PhD,4594200
"Medical Research",Woman,"Master's degree",90000
"Restaurant Group",Woman,"College degree",63000
"Pharmaceutical industry",Woman,"Some college",93500
"Ed Tech",Woman,"College degree",96000
"Corporate service management",Woman,"College degree",66000
"CALL CENTER",Woman,"Some college",25480
facilities,Woman,"College degree",28782
"Property or Construction","Other or prefer not to answer","College degree",95200
"commodities trading",Woman,"College degree",75000
"Union/political organizing",Woman,"Some college",103586
"Non-profit health care (I couldn’t select both)",Woman,"College degree",46700
"academic research",Woman,PhD,64000
"Property or Construction",Woman,"Unknown level of education",66950
"Outsourced Customer Service/Tech Support Call Centre",Woman,"High School",2097.6
Interpretation,Woman,"Master's degree",7095200
"Pharmaceutical research (chemist)",Woman,"Master's degree",64000
Religion,Man,"Professional degree (MD, JD, etc.)",100000
"Urban Planning",Woman,"Professional degree (MD, JD, etc.)",104000
Journalism,Woman,"College degree",35600
"Library science / part-time work/study",Non-binary,"Some college",24252
"Art & Design",Unknown,"Master's degree",100000
Research,Woman,"Some college",34320
"Customer Service",Woman,"College degree",44429.666666666664
"Public Health- state level",Woman,"Master's degree",71989
"Tabletop Gaming",Man,"Some college",60996
"Winery regulatory compliance",Woman,"College degree",61500
Entertainment,"Other or prefer not to answer","Professional degree (MD, JD, etc.)",175000
"Transport or Logistics",Non-binary,"College degree",47158.08
Mining,Man,"High School",84500
"Administrative Support",Woman,"Some college",67558
"User Experience (UX) Research",Woman,"Master's degree",134000
"Education Consulting",Woman,"Professional degree (MD, JD, etc.)",118000
"Contract research organisation",Woman,"College degree",52545.754
"Coffee - Importing",Non-binary,"College degree",95000
"Payment Processing",Woman,"College degree",99531.6
"Library and Information Services",Woman,"Master's degree",55200
Librarian,Non-binary,"Master's degree",45700
"University research",Woman,"Master's degree",43000
"Academic Press Production",Woman,"Master's degree",42000
Pharmaceutical/Biotech,Woman,"Professional degree (MD, JD, etc.)",160000
Training,Woman,"College degree",67000
"Wine Wholesale",Woman,"College degree",85000
"Public affairs / PR",Woman,"College degree",88000
Pharmaceuticals,Man,"College degree",100666.66666666667
"Large University Administration",Woman,"Master's degree",125120
"Leisure, Sport & Tourism",Non-binary,"College degree",3927825
"Construction / Stone industry",Woman,"High School",16974
"Computing/Tech + Higher Ed + Nonprofit",Non-binary,"Master's degree",110432
"Research at a State University",Woman,"College degree",55000
"Office Admin",Woman,"Some college",36400
"Art & Design",Man,"High School",51284.666666666664
"Agriculture/Agriculture Chemical",Man,"College degree",91112
"R&D in Manufacturing",Woman,"College degree",60000
"Library and Information Science",Woman,"Master's degree",46183
Fashion,Woman,"College degree",90000
"Transport or Logistics",Man,"High School",98112.91666666667
Information,Woman,"College degree",135000
"Game development",Woman,"Master's degree",110000
"Private Equity",Woman,"College degree",106500
Law,Man,"Unknown level of education",113679.33333333333
Biotech,Man,"College degree",70700
Construction,Man,"Some college",69520
Law,Non-binary,"Some college",62604
Veterinary,Woman,"Master's degree",35000
"Education research- mix of Edtech and non profits",Woman,PhD,140000
Ministry,Woman,"College degree",32000
"Engineering or Manufacturing",Unknown,PhD,160000
"Business or Consulting",Man,"High School",54253.333333333336
"Healthcare Information Technology",Woman,"College degree",63000
Environmental,Woman,"College degree",45746.666666666664
"Fast casual restaurant",Non-binary,"College degree",38188
Nonprofits,Man,"Professional degree (MD, JD, etc.)",130000
"Business or Consulting","Other or prefer not to answer","College degree",88360
"Art & Design",Woman,"Unknown level of education",54
"Media & Digital",Man,"Some college",96169.66666666667
"Supply Chain",Man,"College degree",98736
"I work in the finance function of a large global conglomerate",Woman,"Master's degree",90000
"Funeral Service",Woman,"College degree",36000
"Beverage Distribution",Woman,"Some college",40000
"Nonprofit - legal department",Woman,"College degree",69000
"Pharmaceutical Research",Woman,"College degree",60060
"Software Development / IT",Non-binary,"College degree",95200
"Commercial Landscaping",Woman,"Master's degree",42840
Labor,Woman,"College degree",66617
"Ecommerce - Technology",Man,"College degree",125000
Oil,Man,"College degree",508482
"Child Care Resource and Referral Agency",Woman,"College degree",3200
"Utilities & Telecommunications",Non-binary,"College degree",60220.333333333336
Distribution,Woman,"Master's degree",128000
Architecture,Man,"College degree",58000
"Warehouse- Food and Beverage",Woman,"College degree",47500
"Law Enforcement & Security",Man,"Master's degree",74000
"Video games",Man,"College degree",95000
Administrative,Woman,"Some college",35360
Forensics,Woman,"College degree",65000
"Educational assessment",Woman,"Master's degree",74000
Mining,Woman,"Master's degree",59000
"strategy consulting",Woman,"Master's degree",195000
"Data/Institutional Research in Higher Education",Woman,"College degree",57211
"Science (Laboratory)",Woman,"College degree",59000
"Hospitality & Events",Non-binary,"Some college",40233.333333333336
"Media & Digital",Man,"High School",62590
Military,Woman,"High School",125000
Energy,Man,"Unknown level of education",76912
"Renewable fuels",Woman,"Master's degree",62928
Saas,Man,"College degree",99580
"International organization (UN)",Woman,"Master's degree",83000
"Customer service",Non-binary,"Master's degree",21850000
"Public Library",Non-binary,"College degree",37731
"I have two jobs. Marketing / Business",Woman,"College degree",135000
Pharmaceuticals/Biotechnology,Woman,"Professional degree (MD, JD, etc.)",194000
Entertainment,Woman,"High School",71000
"Education (Higher Education)",Non-binary,"Professional degree (MD, JD, etc.)",46000
"Beauty, Cosmetics, Fragrance",Woman,"College degree",105000
"Film Post-Production",Man,"College degree",95000
Construction,Woman,"Some college",74000
"Transport or Logistics","Other or prefer not to answer","College degree",93000
Childcare,Woman,"Master's degree",90000
"Government Contractor (R&D)",Woman,"College degree",55000
"Education (Higher Education)",Man,"Unknown level of education",87552
parking,Woman,"High School",63000
"Accounting, Banking & Finance",Unknown,"Master's degree",131916.66666666666
"Automotive technician",Man,"High School",49000
Academia,Man,PhD,49293.6
"Language Services",Woman,"College degree",87000
"Art & Design",Non-binary,"Some college",60440
"Zoos and Aquariums",Man,"College degree",37419
Toxicology,Woman,"College degree",57000
Construction,Woman,"College degree",76855
"Academia / Research",Woman,"Master's degree",68500
Libraries/Museums/Archives,Woman,"Master's degree",40830
Automotive,Woman,"Master's degree",105000
"Medical supply Wholesale & Warehousing",Woman,"College degree",33000
"Organized Labor",Woman,"Professional degree (MD, JD, etc.)",103996
"International organisations",Woman,PhD,138720
"Property or Construction",Man,"Professional degree (MD, JD, etc.)",63000
Music,Man,"College degree",65000
"Business or Consulting",Man,PhD,146712
"Educational Research",Woman,"College degree",56000
Cannabis,Woman,"Master's degree",75000
"Food Service",Non-binary,"Some college",20800
"Consumer/Packaged Goods",Woman,"College degree",95000
Library,"Other or prefer not to answer","College degree",30000
Printing,Woman,"College degree",61360
Religion,Woman,"Master's degree",58000
Academia,Woman,"Master's degree",35188.114
"Video Game Industry",Man,"High School",90000
"Science research",Woman,"College degree",44000
"Media & Digital",Unknown,"Unknown level of education",25830
Energy/oil,Woman,"Some college",62000
"Leisure, Sport & Tourism",Man,"Some college",28627
"Library at a University",Woman,"Master's degree",49000
"Diagnostic Medical Devices",Man,"Master's degree",68000
"Energy Sector: Oil & Gas",Man,"High School",47000
"Religious (synagogue)",Woman,"College degree",62400
Law,Man,"Master's degree",82262.5
"Preclinical Research",Woman,"College degree",82000
Museums,Man,PhD,128000
Automotive,Man,"Master's degree",49484
Sales,Man,PhD,100000
"Life Sciences",Man,PhD,72961
"Healthcare technology",Woman,"Master's degree",83900
Research,Unknown,"College degree",87000
"Music Licensing",Man,"Master's degree",58000
"Real Estate",Man,"College degree",120000
"Operational Training",Woman,"College degree",45000
"Marketing, Advertising & PR",Non-binary,"Master's degree",65662.66666666667
Software,Woman,"College degree",117666.66666666667
"Health care",Unknown,"High School",38000
Sports,Man,"College degree",300000
"Education service provider",Woman,"Master's degree",116000
Entertainment,Non-binary,"Master's degree",33561.6
"Entertainment data",Non-binary,"College degree",52000
Journalism,Man,"College degree",47500
"Property or Construction",Non-binary,"High School",37500
"Real estate service",Man,"Some college",70000
"Industrial Supply",Man,"Some college",67000
"Academic research",Man,"College degree",63500
"Beverage & Spirits",Woman,"Master's degree",103000
"Outsourcing Services",Man,"Some college",90000
"Freelance Journalism",Man,"College degree",12000
Lobbying,Man,"Master's degree",108800
"Animal welfare",Woman,"College degree",82908
"Food service",Man,"Some college",47000
"Education (Higher Education)",Non-binary,"Some college",46000
"Nonprofit association",Woman,"College degree",69000
"Real Estate",Man,"Master's degree",100000
Accessibility,Woman,"College degree",74000
Sales,Man,"High School",58692.8
Aerospace,Man,"Master's degree",155000
"Health care",Non-binary,"Professional degree (MD, JD, etc.)",131350
"Food manufacturers",Woman,"College degree",16236
"Oil and gas exploration",Man,"College degree",45313.5
Retail,Unknown,"Some college",35424
"Textbook Copyeditor",Man,"College degree",56160
Research,Man,PhD,89808.9075
"Interior Design (commercial)",Non-binary,"College degree",40000
Insurance,Unknown,"Professional degree (MD, JD, etc.)",69920
Janitorial,Non-binary,"High School",29120
Cannabis,Man,"College degree",65000
"University libraries",Non-binary,"Master's degree",54000
"Agriculture or Forestry",Man,"Some college",34126.5
"Pharmaceutical research & development",Man,PhD,27675
"Leisure, Sport & Tourism",Woman,"Unknown level of education",34320
"Funding Intermediary",Woman,"High School",115000
Archaeologist,Man,"College degree",35424
Restaurant,Non-binary,"College degree",42432
"Auto Mfg.",Man,"Some college",104000
"Translation and Localization",Woman,"Master's degree",43000
"Soft Drinks Manufacturing",Man,"High School",35424
"Government contract",Woman,"College degree",31217.4
"not-for-profit health research consulting",Man,PhD,217600
Archives/Libraries,Woman,"Master's degree",62271
"Real Estate Title Company",Man,"Some college",47445
Pharma/biotechnology,Man,PhD,168000
"Education (Primary/Secondary)",Man,"Professional degree (MD, JD, etc.)",35424
Environment,Woman,PhD,61200
Veterinary,Man,"College degree",30996
"Government and Public Administration",Man,"Unknown level of education",25830
"Game Development",Woman,"College degree",83000
Veterinary,Woman,"Professional degree (MD, JD, etc.)",127522
defence,Woman,"College degree",172000
"Hospitality & Events",Non-binary,"High School",31216
"art appraisal",Woman,"College degree",39000
economics,Woman,PhD,187680
"Third sector/non profit - medical membership in UK",Woman,"College degree",30410.028
"Grocery Distribution",Woman,"High School",52600
Museum,Man,"College degree",51150
"Accounting, Banking & Finance",Man,"Unknown level of education",60000
"Software Development",Woman,"College degree",145000
"Oil and Gas",Man,"Master's degree",142000
Research,Man,"College degree",47840
Clergy,Woman,"Master's degree",63000
Publishing,Man,"Master's degree",80
"Business or Consulting",Unknown,"College degree",112000
"Market Research",Man,"College degree",77000
Construction,Man,"High School",60000
Retail,Man,"Professional degree (MD, JD, etc.)",70416.66666666667
Retail,Non-binary,"Master's degree",33211.333333333336
"Beer sales",Man,"College degree",60000
"Scientific Research",Man,PhD,43169.55
"Retail real estate",Woman,"College degree",67000
"Grocery delivery",Woman,"College degree",50000
"Food Industry",Man,"College degree",68000
"Performing Arts",Woman,"College degree",41500
"Social Work",Man,"Professional degree (MD, JD, etc.)",43000
"Health care","Other or prefer not to answer","Some college",48851
"Data Breach",Man,"Some college",56410
"Biotech/Drug Development",Woman,"College degree",90000
"CPG / Retail",Woman,"Master's degree",175000
"Recruitment or HR","Other or prefer not to answer","College degree",402000
"Medical Research",Non-binary,"Master's degree",66000
Law,Man,"Some college",70626.66666666667
"Property Management",Woman,"College degree",56784
Architecture/Construction,Woman,"Master's degree",77400
Religious,Man,"College degree",53000
"Education start-up",Woman,"College degree",93600
Mining,Woman,"High School",128128
"Biomedical Research",Man,PhD,112500
Internet,Woman,"Master's degree",156650
"Online education",Woman,"College degree",75000
finance,Woman,"Master's degree",130000
"Information Management/Archives",Woman,"Master's degree",74800
"Business or Consulting",Unknown,"Unknown level of education",83500
"Media & Digital",Man,"Unknown level of education",120000
Strategy,Woman,"College degree",150000
"Marketing, Advertising & PR",Unknown,"Master's degree",76000
"Research/Social Science",Woman,PhD,110000
"Research (health)",Woman,"Master's degree",100640
"Affordable Housing Real Estate Development (nonprofit)",Woman,"Master's degree",144200
e-comm,Woman,"College degree",115000
"Food Service",Unknown,"Some college",21000
"Wholesale textile manufacture and sales",Woman,"Some college",38000
"Sales Operations",Woman,"Some college",55000
"Natural resources",Woman,"Master's degree",56997
"Utilities & Telecommunications",Man,PhD,153550
"Per Sitter",Woman,"College degree",43800
"Pension Benefit Administration",Man,"Some college",72000
"Lab Science (Biotech)",Man,"Master's degree",83200
Wholesale,Woman,"College degree",69000
Horticulture,Woman,"College degree",37440
"Supply Chain!",Woman,"College degree",144656
"Research - academic",Woman,PhD,66000
"Pet Care",Woman,"Master's degree",41600
"Pharmaceutical research",Woman,PhD,120000
"Veterinary medicine",Woman,"College degree",48000
"Medical Technology",Woman,"College degree",77500
"Health care",Unknown,"College degree",77196
Science,"Other or prefer not to answer","College degree",59840
"Agriculture or Forestry",Man,"High School",190400
"Pharmaceutical Industry",Woman,"College degree",96000
"Private Sector Emergency Management",Woman,"Master's degree",115000
"Utilities & Telecommunications",Woman,PhD,112856
Sales,"Other or prefer not to answer","Some college",32300
"Consumer Product Goods",Woman,"College degree",75000
Science/Biotech,Woman,"College degree",100100
"Oil & Gas",Woman,"Some college",72250
"Early Childhood Education",Woman,"Master's degree",117500
"Publishing: Science, Academic, Technical",Woman,"College degree",81500
"Real Estate Affordable Housing",Woman,"Master's degree",120000
Childcare,Non-binary,"Some college",28100
Clergy,Man,"Master's degree",50000
"International development",Woman,"Master's degree",128950
"Recruitment or HR",Unknown,"College degree",98973.33333333333
"Media & Digital","Other or prefer not to answer","Master's degree",19035055
Entertainment,Man,"High School",162480
"Retail call center",Woman,"College degree",55000
"Libraries and Archives",Woman,"Master's degree",84826.66666666667
"Call center",Man,"College degree",70000
Construction,Man,"College degree",56150
"Education (Primary/Secondary)",Man,"High School",3761100
"Utilities & Telecommunications",Unknown,"Unknown level of education",55350
"Clinical trials",Man,"College degree",50184
Fashion/e-commerce,Woman,"College degree",58500
Conservation,Man,"Master's degree",26568
"Clinical research and development",Woman,"College degree",56810
"Recruitment or HR",Man,PhD,26568
"Health care","Other or prefer not to answer","Professional degree (MD, JD, etc.)",111500
Mining,Woman,"Some college",55140
Travel,Man,"College degree",70110
"Games development",Woman,"Master's degree",41952
Automotive,Man,"High School",75000
Digital,Woman,"College degree",31630.68
Fintech,Woman,"Master's degree",110000
"Consumer Products design",Woman,"College degree",69000
"FMCG development",Man,"Master's degree",24002.712
"Government and Public Administration",Unknown,PhD,123859.5
Retail,Man,PhD,90022
"Food & Beverage",Woman,"College degree",67000
"Automotive Repair",Woman,"Some college",39520
"Aerospace and defence/Government Contracting",Woman,"College degree",52000
"Survey Research/Public Policy Research",Woman,"College degree",76000
Service,Woman,"Some college",70000
"Veterinary m&a",Woman,"College degree",49000
"Oil and gas",Man,"College degree",170000
"Language Services company, unsure the broad category to use. Our clients are branding agencies, and their clients are frequently (but not always) pharmaceutical companies.","Other or prefer not to answer","Master's degree",70000
"Public Library",Man,"Master's degree",56000
"Property or Construction",Non-binary,"Master's degree",90000
Procurement,Woman,"Master's degree",197120
"environmental compliance/engineering",Woman,"Master's degree",87460
"Marketing, Advertising & PR",Man,"Professional degree (MD, JD, etc.)",67000
Church,Man,"Master's degree",50000
"Food & Beverage",Man,"Master's degree",113500
"Human services",Woman,"College degree",33280
"Real estate valuation",Woman,"College degree",62000
Finance,Man,"Master's degree",200000
"Communication Research",Woman,PhD,90456
"Human Resources",Woman,"College degree",40
"Pharma & Biotech",Woman,"Master's degree",125760
Church,Woman,"College degree",45000
"Social Work",Man,"Some college",28080
R&D,Woman,"Master's degree",160000
"Energy (Oil & Gas)",Man,"Some college",120000
"Public Opinion Research",Woman,PhD,100000
defence,Man,"College degree",71000
Warehouse,Woman,"College degree",38720
"Association Management",Woman,"College degree",49000
"Human Resources",Woman,"Unknown level of education",40000
Association,Woman,"College degree",67000
"Technical writing",Woman,"Master's degree",92000
"Educational Publishing",Man,"Some college",90000
"Environmental survey",Woman,PhD,52000
Training,Woman,"Master's degree",98500
"Auction house",Woman,"College degree",55000
"Real Estate Association",Woman,"College degree",47000
"Environmental Services",Woman,"Master's degree",62500
"Video games",Non-binary,"Some college",80000
"Marketing, Advertising & PR",Man,"High School",126666.66666666667
"Higher education/Libraries",Woman,"Master's degree",62000
Research/Academia,Woman,"Master's degree",38019
"Food processing and packaging",Woman,"College degree",114240
"Parks and recreation, land management but with customer service included",Woman,"Some college",27460
"Research and Evaluation",Woman,PhD,115000
"Benefits Administration",Man,"College degree",108000
"Public Health",Man,"Master's degree",50500
"Early Education",Unknown,"College degree",40000
"Industry unknown",Woman,"Some college",42066.42857142857
"Medica education",Woman,"College degree",90898
"Political Campaigns",Man,"College degree",104000
Probiotics,Man,"Professional degree (MD, JD, etc.)",16236
"Sales operations",Man,"College degree",75000
"Government Relation",Woman,"Master's degree",176800
"Auto Repair",Man,"Some college",50000
"Food/Quick Service Restaurant (QSR)",Man,"College degree",110000
Intelligence,Woman,"College degree",110000
"Educational products",Woman,"Master's degree",42000
Libraries/Archives,Non-binary,"Master's degree",41120
"Beauty Manufacturing & Education",Woman,"College degree",35360
"Storage Facility",Woman,"College degree",120000
Insurance,Non-binary,"Some college",40088.5
"Museum (<20 employees)",Woman,"Master's degree",52000
"Healthcare IT",Woman,"Master's degree",106080
"Content Review - Copyright/DMCA",Man,"Some college",51000
Retail,Unknown,"Unknown level of education",27600
"Wholesale Industrial & Welding Supplies & Equipment",Woman,"High School",50000
Energy,Woman,"Professional degree (MD, JD, etc.)",148000
"Food and Beverage",Man,"Master's degree",14760
"Public Health, local government",Woman,"Master's degree",127000
"Security and manufacturing company",Woman,"College degree",36000
"Print publishing",Man,"College degree",68500
"Information Services/Libraries",Woman,"Master's degree",53000
"Non-profit Theatre",Woman,"College degree",72000
Pharmaceutical,Woman,"Some college",62737
"Consulting / Professional Services",Non-binary,"College degree",50000
"Arts Administration",Woman,"College degree",61000
Pharmaceutical,Non-binary,"Master's degree",150920
"Art & Design",Man,"Professional degree (MD, JD, etc.)",29366.4
"Tabletop Games Publishing",Man,"College degree",42000
"Business or Consulting",Non-binary,PhD,112000
"Survey methodology",Woman,"Master's degree",71000
Government,Woman,"Master's degree",70000
"Professional services / architecture",Woman,"College degree",78000
Scientific,Woman,"College degree",80000
Medical/Pharmaceutical,Woman,"Master's degree",220000
"Staffing agency",Woman,"Master's degree",62400
"Diversity, Equity & Inclusion",Woman,"College degree",140000
"Utilities & Telecommunications",Non-binary,"High School",29661
Ipr,Woman,PhD,816000
Petroleum,Woman,"Master's degree",220000
"Business or Consulting",Unknown,PhD,170000
"Hospitality & Events",Woman,"Professional degree (MD, JD, etc.)",41512.5
"Marketing, Advertising & PR",Man,"Unknown level of education",392370
"International defence",Woman,"Master's degree",65550
"Transport or Logistics",Man,"Unknown level of education",61180
"Natural Resources",Woman,"College degree",50000
"Consumer Packaged Goods",Man,"Professional degree (MD, JD, etc.)",160000
Brewing,Man,"College degree",57000
"Staffing Firm",Woman,"College degree",125000
"Government Research",Woman,"Master's degree",102544
Pharma/biotechnology,Woman,"Master's degree",104500
"Commercial Fisherman",Man,"Some college",26000
Sciences,Woman,"College degree",35500
"Marketing, Advertising & PR",Non-binary,"Professional degree (MD, JD, etc.)",23616
Purchasing,Woman,"Some college",55000
"Manufacturing (medical devices)",Woman,"Professional degree (MD, JD, etc.)",109000
Biopharma,Woman,"Master's degree",175000
"Industry unknown",Man,"High School",47000
"Health care",Unknown,PhD,102000
"Oilfield adjacent",Woman,"Some college",71038.24
Purchasing,Woman,"College degree",86200
"Medical Device",Woman,"College degree",109000
Manufacturing,Woman,PhD,65000
Aerospace/aviation,Woman,"College degree",103360
"Health care",Unknown,"Some college",58000
Biotech/Pharma,Man,PhD,130000
Buyer,Woman,"Some college",76650
"Software Products",Woman,"Master's degree",115000
"Research and Development Academia",Woman,"Master's degree",74500
Ministry,Man,"College degree",42000
"Energy / renewables",Woman,"Master's degree",1115000
"Social science",Woman,PhD,129000
"Behaviour analysis/mental health",Woman,"Master's degree",90000
Law,Man,"High School",65000
"Art & Design","Other or prefer not to answer","High School",28000
Operations,Woman,"College degree",110000
"Educ tech",Woman,"Some college",42000
"Repair facility for heavy duty trucks","Other or prefer not to answer","High School",65000
Retail,Unknown,"High School",29120
"Child care",Woman,"Some college",38000
Scientific,Woman,"Master's degree",80000
Retail,Woman,PhD,39520
"Writing and journalism",Woman,"Some college",56000
"Transport or Logistics",Woman,"Unknown level of education",23195.96
"Information Technology",Woman,"Master's degree",99952
"Contact Center",Woman,"College degree",102000
"Government and Public Administration","Other or prefer not to answer","Some college",58250
"Historic Preservation",Woman,"Master's degree",75000
"College Athletics",Woman,"College degree",37500
Pharma,Woman,"Professional degree (MD, JD, etc.)",192500
Ecology,Woman,"Master's degree",54000
E-commerce,Woman,"College degree",64000
"E commerce",Woman,"College degree",42000
Biotech/software,Woman,"College degree",105000
"Corporate Training",Woman,"Master's degree",280000
"Industry unknown",Man,"Master's degree",79227.14285714286
"Print Distributor",Woman,"College degree",62500
Scientist,Woman,"College degree",103500
"funeral services",Woman,"Master's degree",82132
"Research Scientist, Pharma",Woman,"Master's degree",175000
"Public health",Woman,"Unknown level of education",60000
"Accounting, Banking & Finance","Other or prefer not to answer","Some college",50500
Scientist,Woman,"Master's degree",76000
"Graduate assistant and also events",Woman,"Master's degree",24000
"Haz/Ind/Rad Waste Management",Woman,"College degree",100000
Sales,Unknown,"Some college",123200
"Staffing & workforce solutions",Woman,"College degree",59900
Pharmaceuticals,Woman,"Professional degree (MD, JD, etc.)",198500
"ESL Teacher",Man,"College degree",36000000
"Fast Food",Woman,"College degree",29120
"Childcare (0-5 so does not come under Primary education)",Woman,"College degree",14582.88
"Biotech pharmaceuticals",Woman,"College degree",158168
"Research & Development (Physical Sciences)",Woman,PhD,130000
"Research & Development",Woman,PhD,65000
Biotech,Non-binary,"Master's degree",86000
"Consumer Goods",Man,"Master's degree",130000
Restaurant,Woman,"Some college",38000
"Transport or Logistics","Other or prefer not to answer","Unknown level of education",83030
"Pet care/grooming","Other or prefer not to answer","Some college",25000
"Pharmaceutical R&D",Woman,PhD,119000
"Science Research",Non-binary,"Master's degree",56763
"Food industry",Woman,"College degree",60000
"Industrial Hygiene",Woman,"Master's degree",90000
"political campaign",Unknown,"College degree",103000
Insurance,Unknown,"College degree",120000
"Publishing, content as a service",Woman,"College degree",57500
"Laundry and Rental",Woman,"College degree",62000
"Leisure, Sport & Tourism",Woman,"High School",31200
"Organizational Development",Woman,"Master's degree",134776
"Grant writing Consultants",Woman,"Master's degree",94000
"Property or Construction",Unknown,"College degree",72600
Insurance,Unknown,"Unknown level of education",48880
"Pre-primary education",Woman,"Master's degree",60000
"Renewable Energy Development",Man,"Professional degree (MD, JD, etc.)",170000
"Education- museum/public outreach",Woman,"Master's degree",84000
"Utilities & Telecommunications",Non-binary,"Master's degree",36900
"Customer service",Woman,"Some college",55
"Skilled trade",Woman,"Some college",108800
"Trade Associations",Woman,"College degree",67000
"Commercial Real Estate Data and Analytics/Research",Woman,"College degree",68700
"Interior landscaping",Non-binary,"Some college",33000
"Delivery and installation for commercial machinery",Man,"Some college",30000
"Benefits Administration",Woman,"College degree",89000
Biotech/pharmaceuticals,Man,"College degree",227000
"Ecommerce fraud",Woman,"College degree",120000
"Multilateral Organisation",Man,"Master's degree",250000
Charity,Woman,"Some college",12841.2
"Real Estate customer care",Woman,"College degree",50000
"Background Screening",Woman,"College degree",69000
Chemicals,Woman,"Master's degree",102000
"Earth sciences",Woman,"Master's degree",75000
"Pharmaceutical company",Woman,PhD,188000
"DoD Contracting",Woman,"College degree",93000
"Freelance/Self-Employed Consultant",Man,"College degree",120000
"Information technology (IT)",Woman,"College degree",102000
"Consulting Operations- Big 4",Woman,"College degree",100000
Foodservice,Woman,"College degree",115000
Retired,Woman,"College degree",13000
Bioinformatics,Woman,"Master's degree",110000
"Wealth advisor Research",Woman,"Master's degree",50000
"Digital Marketing",Woman,"College degree",76700
"Library Tech for a school system",Woman,"Some college",68000
"Education (Higher Education)",Non-binary,"High School",48000
"Restaurants & Hospitality",Woman,"College degree",118000
"Manufacturing (personal care)",Woman,"High School",94000
"Food service",Non-binary,"College degree",22880
coaching,Woman,"Master's degree",44000
"Public Library",Man,"College degree",82700
"Chemicals/ Materials",Woman,PhD,109400
"Construction Management",Woman,"College degree",60000
"Social sciences research",Woman,"College degree",55000
library,Woman,"Unknown level of education",40000
"Government Contracting R&D",Woman,"College degree",100000
Aviation,Man,"High School",28700
"Pharmaceuticals / Biotech",Woman,PhD,160000
"manufacturing security systems",Woman,"Master's degree",56163.24
"Professional Association in Finance",Woman,"Master's degree",140000
"biological research",Woman,"College degree",34000
Hospital,Woman,"Master's degree",77500
Museums,Man,"Master's degree",42500
Military,Woman,"College degree",83000
MedComms,Woman,PhD,26568
"Landscape Contracting",Woman,"College degree",47840
"Higher education fundraising",Woman,"Master's degree",59000
"Marketing, Advertising & PR",Non-binary,"Some college",135000
"Cannabis compliance",Woman,"Master's degree",100000
Investing,Woman,"Some college",58000
Pharma,Man,"College degree",91200
"environmental health and safety",Woman,"Master's degree",52000
aviation,Woman,"Master's degree",75000
"Food Processing",Woman,"Some college",108800
Consulting,Woman,"College degree",70000
"Early childhood education (preschool)",Woman,"Master's degree",106000
Scientist,Woman,PhD,1000000
Biotech/Pharma,Man,"Master's degree",81000
"Medical Devices",Man,"Master's degree",96000
Pharma,Man,"Professional degree (MD, JD, etc.)",122000
Communications,Woman,"Some college",100000
"Animal Care",Woman,"College degree",32244.5
"Mining and natural resources",Man,"Master's degree",308000
"Research Science",Woman,"College degree",79000
"Cultural Resource Management",Woman,"College degree",56388
"Medical Interpreter -(Spanish)",Woman,"Master's degree",30000
Mining,Man,"Master's degree",212520
Culture,Woman,"Master's degree",13110
Technology,Woman,"College degree",178000
"Pharmaceutical R&D",Man,"Master's degree",90000
"Industry unknown","Other or prefer not to answer","Master's degree",98000
"Wholesale Distribution B2B",Woman,"College degree",92400
"Law Enforcement & Security",Man,"High School",85000
"Sourcing & Procurement",Woman,"Professional degree (MD, JD, etc.)",105000
"Professional Association",Woman,"College degree",56500
IT,Woman,"Master's degree",123600
"Public/Research Library",Woman,"Master's degree",72000
"Academia - STEM",Woman,"College degree",32000
"Scientific research (industry)",Woman,PhD,122000
"Pharma research",Woman,PhD,180000
"Environmental Restoration",Woman,"College degree",61050
"Government Affairs/Lobbying",Woman,"Professional degree (MD, JD, etc.)",250000
"Child and Youth Care",Man,"College degree",49873.92
Pharmaceutical/biotechnology,Woman,PhD,227500
"Virtual Assisting",Woman,"Master's degree",41600
"museums & archives (not sure where this would fall)",Woman,"College degree",35360
"Archaeology/Cultural Resource Manager","Other or prefer not to answer","Master's degree",110000
